Team,ATS Record,Cover %,MOV,ATS +/-
Kansas City,13-5-1,72.2%,9.7,4.8
LA Rams,10-5-1,66.7%,1.9,-0.8
New Orleans,11-6-0,64.7%,6.5,2.1
Arizona,9-5-2,64.3%,-5.1,0.5
San Francisco,11-7-1,61.1%,10.1,6.0
Green Bay,11-7-0,61.1%,2.8,-0.3
Buffalo,9-6-2,60.0%,3.1,2.8
Baltimore,10-7-0,58.8%,13.7,8.1
Denver,9-7-0,56.2%,-2.1,0.5
Pittsburgh,9-7-0,56.2%,-0.9,-1.3
Dallas,9-7-0,56.2%,7.1,1.7
Miami,9-7-0,56.2%,-11.8,-1.2
Tennessee,10-8-1,55.6%,4.4,4.9
Minnesota,10-8-0,55.6%,5.2,2.7
Las Vegas,8-8-0,50.0%,-6.6,-3.9
Atlanta,8-8-0,50.0%,-1.1,1.1
Indianapolis,7-7-2,50.0%,-0.8,-1.0
New England,8-8-1,50.0%,11.1,1.6
Seattle,8-9-1,47.1%,0.6,-1.2
Houston,8-9-1,47.1%,-1.3,-0.9
NY Giants,7-9-0,43.8%,-6.9,-3.1
NY Jets,7-9-0,43.8%,-5.2,-0.4
Jacksonville,7-9-0,43.8%,-6.1,-3.8
Philadelphia,7-10-0,41.2%,1.4,-1.5
Carolina,6-9-1,40.0%,-8.1,-6.2
Washington,6-10-0,37.5%,-10.6,-3.2
Detroit,6-10-0,37.5%,-5.1,-0.9
Cincinnati,6-10-0,37.5%,-8.8,-3.2
Tampa Bay,5-9-2,35.7%,0.6,1.4
Cleveland,5-10-1,33.3%,-3.6,-4.3
LA Chargers,4-9-3,30.8%,-0.5,-2.0
Chicago,4-12-0,25.0%,-1.1,-2.6
