,Team,ATS Record,Cover %,MOV,ATS +/-
0,Pittsburgh,6-2-0,75.0%,9.2,4.9
1,Miami,6-2-0,75.0%,7.6,11.1
2,Green Bay,6-2-0,75.0%,6.1,3.1
3,Cincinnati,6-2-0,75.0%,-2.5,3.1
4,NY Giants,6-3-0,66.7%,-5.7,0.3
5,Kansas City,6-3-0,66.7%,11.4,2.7
6,LA Chargers,5-3-0,62.5%,-1.4,-0.8
7,Arizona,5-3-0,62.5%,6.8,4.7
8,Minnesota,5-3-0,62.5%,-2.1,-0.3
9,Las Vegas,5-3-0,62.5%,-1.4,1.8
10,Seattle,5-3-0,62.5%,3.9,0.5
11,Denver,5-3-0,62.5%,-5.4,-0.6
12,Indianapolis,5-4-0,55.6%,7.2,2.9
13,Chicago,5-4-0,55.6%,-1.3,1.8
14,Carolina,5-4-0,55.6%,-1.8,2.2
15,Washington,4-4-0,50.0%,-4.4,0.9
16,Baltimore,4-4-0,50.0%,10.6,3.3
17,LA Rams,4-4-0,50.0%,5.1,1.4
18,Buffalo,4-5-0,44.4%,1.0,-1.7
19,San Francisco,4-5-0,44.4%,2.0,-0.4
20,Tampa Bay,4-5-0,44.4%,5.2,1.1
21,Atlanta,4-5-0,44.4%,-0.9,-0.7
22,Philadelphia,3-5-0,37.5%,-2.4,-2.6
23,New England,3-5-0,37.5%,-3.5,-5.3
24,Detroit,3-5-0,37.5%,-5.4,-3.3
25,New Orleans,3-5-0,37.5%,5.5,1.6
26,Jacksonville,3-5-0,37.5%,-8.5,-3.9
27,Cleveland,3-5-0,37.5%,-3.9,-4.7
28,Tennessee,3-6-0,33.3%,1.6,-1.6
29,NY Jets,2-7-0,22.2%,-16.3,-7.4
30,Houston,1-7-0,12.5%,-6.1,-4.9
31,Dallas,1-8-0,11.1%,-9.6,-7.9
