Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,6-9-1,40.0%,-4.1,-2.2
Atlanta Falcons,8-10-0,44.4%,2.6,-1.0
Baltimore Ravens,8-7-1,53.3%,5.8,3.5
Buffalo Bills,10-6-1,62.5%,-3.8,-1.4
Carolina Panthers,10-7-0,58.8%,1.8,1.0
Chicago Bears,8-7-1,53.3%,-3.5,1.2
Cincinnati Bengals,9-7-0,56.2%,-3.7,-2.8
Cleveland Browns,4-12-0,25.0%,-11.0,-4.4
Dallas Cowboys,8-7-1,53.3%,1.4,-0.8
Denver Broncos,4-11-1,26.7%,-5.8,-6.0
Detroit Lions,8-7-1,53.3%,2.1,1.6
Green Bay Packers,7-9-0,43.8%,-4.0,-2.3
Houston Texans,7-9-0,43.8%,-6.1,-2.6
Indianapolis Colts,8-8-0,50.0%,-8.8,-3.3
Jacksonville Jaguars,11-8-0,57.9%,8.2,6.4
Kansas City Chiefs,10-7-0,58.8%,4.4,0.7
San Diego Chargers,8-7-1,53.3%,5.2,3.8
St. Louis Rams,9-8-0,52.9%,8.0,5.5
Oakland Raiders,5-9-2,35.7%,-4.5,-4.3
Miami Dolphins,5-9-2,35.7%,-7.0,-2.4
Minnesota Vikings,11-7-0,61.1%,5.8,2.4
New York Giants,7-9-0,43.8%,-8.9,-4.3
New York Jets,9-6-1,60.0%,-5.2,1.1
New England Patriots,12-7-0,63.2%,9.4,0.8
New Orleans Saints,10-8-0,55.6%,6.8,3.7
Philadelphia Eagles,13-6-0,68.4%,10.8,7.9
Pittsburgh Steelers,7-10-0,41.2%,5.6,-0.3
San Francisco 49ers,9-7-0,56.2%,-3.2,1.1
Seattle Seahawks,6-9-1,40.0%,2.1,-0.7
Tampa Bay Buccaneers,6-9-1,40.0%,-2.9,-0.8
Tennessee Titans,9-8-1,52.9%,-2.3,-2.7
Washington Redskins,7-9-0,43.8%,-2.9,-1.9
