RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
1,TEN,0.782,null,-0.053,25,1-0,0.340,7,-0.444,2,-0.002,17,1,2015,,,,,,,,,,,,,,,,
2,BUF,0.653,null,0.013,17,1-0,0.473,3,0.019,16,0.199,1,1,2015,,,,,,,,,,,,,,,,
3,ARI,0.648,null,0.020,15,1-0,0.502,2,-0.085,12,0.061,7,1,2015,,,,,,,,,,,,,,,,
4,CIN,0.583,null,0.113,5,1-0,0.386,6,-0.243,7,-0.046,22,1,2015,,,,,,,,,,,,,,,,
5,NYJ,0.565,null,0.056,9,1-0,0.228,10,-0.352,5,-0.016,18,1,2015,,,,,,,,,,,,,,,,
6,GB,0.559,null,0.133,4,1-0,0.545,1,0.042,19,0.056,9,1,2015,,,,,,,,,,,,,,,,
7,SF,0.536,null,0.019,16,1-0,0.409,5,-0.250,6,-0.123,27,1,2015,,,,,,,,,,,,,,,,
8,KC,0.334,null,0.080,7,1-0,0.245,9,-0.067,13,0.022,13,1,2015,,,,,,,,,,,,,,,,
9,NE,0.282,null,0.194,1,1-0,0.465,4,0.232,25,0.048,11,1,2015,,,,,,,,,,,,,,,,
10,SD,0.234,null,0.072,8,1-0,0.176,11,-0.161,9,-0.103,25,1,2015,,,,,,,,,,,,,,,,
11,STL,0.152,null,0.085,6,1-0,0.037,14,-0.153,10,-0.038,21,1,2015,,,,,,,,,,,,,,,,
12,DEN,0.145,null,0.146,3,1-0,-0.498,30,-0.582,1,0.062,6,1,2015,,,,,,,,,,,,,,,,
13,CAR,0.115,null,-0.022,20,1-0,-0.179,24,-0.397,4,-0.104,26,1,2015,,,,,,,,,,,,,,,,
14,MIA,0.083,null,-0.027,21,1-0,-0.051,19,-0.024,14,0.110,2,1,2015,,,,,,,,,,,,,,,,
15,ATL,0.005,null,0.025,13,1-0,-0.021,17,0.034,18,0.060,8,1,2015,,,,,,,,,,,,,,,,
16,DAL,-0.002,null,0.012,18,1-0,0.027,15,0.005,15,-0.024,19,1,2015,,,,,,,,,,,,,,,,
17,NYG,-0.018,null,-0.033,23,0-1,-0.055,20,0.060,20,0.096,3,1,2015,,,,,,,,,,,,,,,,
18,BAL,-0.100,null,0.031,11,0-1,-0.574,31,-0.410,3,0.064,5,1,2015,,,,,,,,,,,,,,,,
19,PHI,-0.113,null,0.026,12,0-1,0.005,16,0.032,17,-0.087,24,1,2015,,,,,,,,,,,,,,,,
20,DET,-0.124,null,0.021,14,0-1,-0.066,21,0.109,21,0.051,10,1,2015,,,,,,,,,,,,,,,,
21,PIT,-0.176,null,0.037,10,0-1,0.291,8,0.333,28,-0.135,28,1,2015,,,,,,,,,,,,,,,,
22,WAS,-0.202,null,-0.195,31,0-1,-0.089,22,-0.085,11,-0.198,32,1,2015,,,,,,,,,,,,,,,,
23,JAC,-0.280,null,-0.176,30,0-1,-0.363,27,-0.231,8,-0.147,29,1,2015,,,,,,,,,,,,,,,,
24,SEA,-0.326,null,0.179,2,0-1,-0.194,25,0.143,23,0.011,15,1,2015,,,,,,,,,,,,,,,,
25,HOU,-0.339,null,-0.111,27,0-1,-0.047,18,0.128,22,-0.163,30,1,2015,,,,,,,,,,,,,,,,
26,CHI,-0.373,null,-0.101,26,0-1,0.046,13,0.449,31,0.030,12,1,2015,,,,,,,,,,,,,,,,
27,IND,-0.411,null,0.005,19,0-1,0.109,12,0.339,29,-0.181,31,1,2015,,,,,,,,,,,,,,,,
28,CLE,-0.576,null,-0.150,28,0-1,-0.405,28,0.180,24,0.009,16,1,2015,,,,,,,,,,,,,,,,
29,NO,-0.627,null,-0.052,24,0-1,-0.128,23,0.472,32,-0.027,20,1,2015,,,,,,,,,,,,,,,,
30,MIN,-0.670,null,-0.028,22,0-1,-0.229,26,0.372,30,-0.068,23,1,2015,,,,,,,,,,,,,,,,
31,OAK,-0.687,null,-0.162,29,0-1,-0.405,29,0.294,26,0.012,14,1,2015,,,,,,,,,,,,,,,,
32,TB,-1.040,null,-0.241,32,0-1,-0.794,32,0.319,27,0.073,4,1,2015,,,,,,,,,,,,,,,,
1,ARI,0.852,3,0.178,2,2-0,0.593,1,-0.136,8,0.124,2,2,2015,,,,,,,,,,,,,,,,
2,NYJ,0.433,5,0.110,8,2-0,0.048,10,-0.391,2,-0.006,19,2,2015,,,,,,,,,,,,,,,,
3,PIT,0.403,21,0.159,4,1-1,0.554,2,0.100,24,-0.052,23,2,2015,,,,,,,,,,,,,,,,
4,CIN,0.399,4,0.148,6,2-0,0.300,5,-0.130,9,-0.032,20,2,2015,,,,,,,,,,,,,,,,
5,GB,0.358,6,0.155,5,2-0,0.359,3,0.068,22,0.067,8,2,2015,,,,,,,,,,,,,,,,
6,NE,0.356,9,0.231,1,2-0,0.352,4,0.067,21,0.071,7,2,2015,,,,,,,,,,,,,,,,
7,DEN,0.263,12,0.178,3,2-0,-0.322,31,-0.481,1,0.103,4,2,2015,,,,,,,,,,,,,,,,
8,CAR,0.239,13,0.034,12,2-0,-0.057,18,-0.379,3,-0.083,25,2,2015,,,,,,,,,,,,,,,,
9,TEN,0.176,1,-0.063,23,1-1,0.053,9,-0.269,4,-0.146,32,2,2015,,,,,,,,,,,,,,,,
10,ATL,0.134,15,0.056,11,2-0,0.138,6,0.006,13,0.002,16,2,2015,,,,,,,,,,,,,,,,
11,DAL,0.089,16,-0.036,21,2-0,-0.083,21,-0.169,5,0.004,15,2,2015,,,,,,,,,,,,,,,,
12,KC,0.063,8,0.057,10,1-1,-0.115,24,-0.140,7,0.038,12,2,2015,,,,,,,,,,,,,,,,
13,WAS,0.061,22,-0.132,29,1-1,0.013,13,-0.147,6,-0.100,29,2,2015,,,,,,,,,,,,,,,,
14,BUF,0.053,2,-0.028,19,1-1,0.122,7,0.144,27,0.074,6,2,2015,,,,,,,,,,,,,,,,
15,MIA,0.046,14,-0.016,17,1-1,0.038,11,0.007,14,0.014,14,2,2015,,,,,,,,,,,,,,,,
16,STL,-0.011,11,0.057,9,1-1,-0.085,22,-0.045,11,0.028,13,2,2015,,,,,,,,,,,,,,,,
17,BAL,-0.018,18,0.032,14,0-2,-0.061,20,0.016,16,0.059,9,2,2015,,,,,,,,,,,,,,,,
18,NYG,-0.034,17,-0.033,20,0-2,-0.032,15,0.124,25,0.121,3,2,2015,,,,,,,,,,,,,,,,
19,SD,-0.047,10,0.034,13,1-1,0.106,8,0.061,18,-0.092,26,2,2015,,,,,,,,,,,,,,,,
20,JAC,-0.057,23,-0.136,30,1-1,-0.096,23,-0.085,10,-0.046,21,2,2015,,,,,,,,,,,,,,,,
21,CLE,-0.063,28,-0.090,24,1-1,-0.208,30,0.011,15,0.156,1,2,2015,,,,,,,,,,,,,,,,
22,DET,-0.133,20,-0.003,15,0-2,-0.041,16,0.088,23,-0.004,17,2,2015,,,,,,,,,,,,,,,,
23,SEA,-0.180,24,0.130,7,0-2,-0.056,17,0.166,28,0.043,11,2,2015,,,,,,,,,,,,,,,,
24,MIN,-0.189,30,-0.012,16,1-1,-0.057,19,0.126,26,-0.006,18,2,2015,,,,,,,,,,,,,,,,
25,OAK,-0.212,31,-0.129,27,1-1,0.022,12,0.283,31,0.049,10,2,2015,,,,,,,,,,,,,,,,
26,PHI,-0.244,19,-0.027,18,0-2,-0.166,26,-0.018,12,-0.095,28,2,2015,,,,,,,,,,,,,,,,
27,SF,-0.336,7,-0.110,25,1-1,0.003,14,0.263,30,-0.076,24,2,2015,,,,,,,,,,,,,,,,
28,HOU,-0.347,25,-0.126,26,0-2,-0.190,29,0.064,19,-0.093,27,2,2015,,,,,,,,,,,,,,,,
29,IND,-0.352,27,-0.047,22,0-2,-0.174,27,0.066,20,-0.112,31,2,2015,,,,,,,,,,,,,,,,
