,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,week,year
0,BUF,0.42700000000000005,51.0%,0.578,55.0%,0.32899999999999996,48.4%,9,2015
1,CIN,0.28,48.4%,0.573,57.6%,-0.033,38.7%,9,2015
2,PHI,0.204,43.8%,0.10099999999999999,38.5%,0.32299999999999995,50.0%,9,2015
3,TEN,0.203,48.6%,0.591,60.0%,-0.313,33.3%,9,2015
4,NO,0.19,45.9%,0.42,57.1%,-0.26,24.0%,9,2015
5,PIT,0.14400000000000002,42.9%,0.12,42.6%,0.18899999999999997,43.3%,9,2015
6,MIA,0.138,57.4%,0.122,58.1%,0.165,56.0%,9,2015
7,LV,0.12300000000000001,39.1%,0.196,43.5%,-0.021,30.4%,9,2015
8,CHI,0.11800000000000001,51.5%,0.185,53.7%,0.017,48.1%,9,2015
9,IND,0.11699999999999999,41.0%,0.34,50.0%,-0.172,29.4%,9,2015
10,NE,0.094,50.0%,0.17,50.0%,0.005,50.0%,9,2015
11,CAR,0.068,41.8%,0.24,47.2%,-0.132,35.5%,9,2015
12,DAL,0.055999999999999994,53.8%,0.04,56.0%,0.084,50.0%,9,2015
13,SF,0.02,36.5%,0.20600000000000002,53.1%,-0.172,19.4%,9,2015
14,DEN,0.006,38.5%,0.13,42.1%,-0.32799999999999996,28.6%,9,2015
15,NYJ,-0.016,27.4%,0.17800000000000002,36.8%,-0.322,12.5%,9,2015
16,NYG,-0.031,45.2%,0.038,48.8%,-0.11800000000000001,40.6%,9,2015
17,JAX,-0.034,40.9%,0.036000000000000004,50.0%,-0.255,12.5%,9,2015
18,GB,-0.04,35.5%,0.053,36.7%,-0.389,31.3%,9,2015
19,LAC,-0.063,40.8%,-0.028999999999999998,44.0%,-0.145,33.3%,9,2015
20,ATL,-0.07,40.6%,-0.023,42.0%,-0.239,35.7%,9,2015
21,MIN,-0.075,47.1%,-0.099,54.3%,-0.051,40.0%,9,2015
22,LA,-0.094,34.7%,-0.17600000000000002,30.6%,-0.012,38.9%,9,2015
23,CLE,-0.109,34.0%,-0.087,32.5%,-0.17600000000000002,38.5%,9,2015
24,TB,-0.17,43.5%,-0.027999999999999997,45.2%,-0.469,40.0%,9,2015
25,WAS,-0.184,34.5%,-0.03,38.1%,-0.59,25.0%,9,2015
26,NO,0.325,60.3%,0.49,66.7%,0.013000000000000001,48.1%,8,2015
27,NYG,0.32299999999999995,57.5%,0.519,64.7%,-0.131,40.9%,8,2015
28,LV,0.27699999999999997,48.3%,0.46399999999999997,55.6%,-0.004,37.5%,8,2015
29,KC,0.262,45.3%,0.397,51.4%,0.077,37.0%,8,2015
30,LAC,0.239,48.5%,0.47600000000000003,52.5%,-0.125,42.3%,8,2015
31,DEN,0.22899999999999998,48.5%,0.40700000000000003,56.3%,0.061,41.2%,8,2015
32,NE,0.14800000000000002,49.3%,0.29100000000000004,51.1%,-0.083,46.4%,8,2015
33,BAL,0.13699999999999998,48.5%,0.321,53.5%,-0.18,40.0%,8,2015
34,ARI,0.124,48.7%,0.591,59.5%,-0.42100000000000004,36.1%,8,2015
35,TB,0.079,42.6%,0.342,48.6%,-0.23600000000000002,35.5%,8,2015
36,NYJ,0.055999999999999994,53.4%,0.21100000000000002,60.0%,-0.418,33.3%,8,2015
37,MIN,0.04,44.8%,0.107,44.1%,-0.055,45.8%,8,2015
38,CHI,0.038,37.7%,0.156,41.7%,-0.133,32.0%,8,2015
39,SEA,0.01,45.9%,0.106,54.5%,-0.10300000000000001,35.7%,8,2015
40,ATL,-0.03,53.2%,0.23,62.7%,-0.503,35.7%,8,2015
41,GB,-0.069,41.5%,-0.063,47.1%,-0.079,31.6%,8,2015
42,LA,-0.091,35.4%,-0.212,36.0%,-0.016,35.0%,8,2015
43,CIN,-0.09300000000000001,42.2%,-0.002,46.7%,-0.311,31.6%,8,2015
44,CLE,-0.102,41.3%,0.10400000000000001,47.8%,-0.662,23.5%,8,2015
45,DAL,-0.11800000000000001,35.6%,-0.12300000000000001,34.4%,-0.11199999999999999,37.0%,8,2015
46,CAR,-0.159,33.3%,0.005,36.6%,-0.35700000000000004,29.4%,8,2015
47,PIT,-0.159,41.3%,-0.248,41.8%,0.086,40.0%,8,2015
48,HOU,-0.18100000000000002,31.7%,-0.064,38.5%,-0.37200000000000005,20.8%,8,2015
49,DET,-0.2,33.3%,-0.293,36.2%,0.134,23.1%,8,2015
50,IND,-0.215,35.7%,-0.128,37.7%,-0.363,32.3%,8,2015
51,MIA,-0.273,35.9%,-0.203,40.0%,-0.52,21.4%,8,2015
52,SF,-0.36,27.3%,-0.303,32.0%,-0.539,12.5%,8,2015
53,TEN,-0.391,45.8%,-0.56,46.2%,-0.06,45.0%,8,2015
54,MIA,0.23800000000000002,50.8%,0.474,57.1%,0.024,45.2%,7,2015
55,TB,0.23600000000000002,51.6%,0.371,52.9%,0.083,50.0%,7,2015
56,ARI,0.191,44.3%,0.34700000000000003,55.9%,-0.006,29.6%,7,2015
57,NYJ,0.162,39.4%,0.332,50.0%,-0.15,20.0%,7,2015
58,LV,0.157,42.6%,0.381,51.4%,-0.145,30.8%,7,2015
59,WAS,0.14300000000000002,52.4%,0.18600000000000003,55.6%,0.035,44.4%,7,2015
60,NE,0.135,40.3%,0.14400000000000002,41.7%,0.057,28.6%,7,2015
61,MIN,0.127,41.3%,0.44799999999999995,53.7%,-0.259,26.5%,7,2015
62,KC,0.12300000000000001,42.6%,0.158,45.7%,0.076,38.5%,7,2015
63,SEA,0.068,37.7%,0.138,43.8%,0.008,32.4%,7,2015
64,NYG,0.057999999999999996,42.9%,0.055,42.9%,0.062,42.9%,7,2015
65,DAL,0.037000000000000005,52.8%,-0.262,51.6%,0.263,53.7%,7,2015
66,NO,0.026000000000000002,33.3%,-0.037000000000000005,31.4%,0.124,36.4%,7,2015
67,LAC,-0.004,48.3%,-0.026000000000000002,47.0%,0.064,52.4%,7,2015
68,CAR,-0.006,50.0%,-0.205,50.0%,0.16899999999999998,50.0%,7,2015
69,BAL,-0.02,41.0%,0.07400000000000001,45.5%,-0.265,29.4%,7,2015
70,PIT,-0.055,44.6%,-0.14800000000000002,45.5%,0.079,43.5%,7,2015
71,JAX,-0.064,36.5%,-0.009000000000000001,37.1%,-0.133,35.7%,7,2015
72,PHI,-0.077,34.9%,-0.192,37.5%,0.162,29.6%,7,2015
73,HOU,-0.078,42.5%,-0.025,45.5%,-0.19399999999999998,36.0%,7,2015
74,LA,-0.084,41.2%,-0.261,37.0%,0.114,45.8%,7,2015
75,DET,-0.102,42.6%,-0.099,44.7%,-0.109,37.5%,7,2015
76,IND,-0.12300000000000001,30.2%,-0.14400000000000002,28.3%,-0.01,40.0%,7,2015
77,ATL,-0.13699999999999998,45.8%,-0.107,46.2%,-0.17300000000000001,45.5%,7,2015
78,BUF,-0.182,47.4%,-0.29600000000000004,46.9%,0.027000000000000003,48.1%,7,2015
79,CLE,-0.258,41.3%,-0.228,49.1%,-0.33,22.7%,7,2015
80,TEN,-0.317,38.9%,-0.413,39.5%,-0.08900000000000001,37.5%,7,2015
81,SF,-0.331,30.4%,-0.377,26.7%,-0.244,37.5%,7,2015
82,CIN,0.27399999999999997,55.9%,0.479,60.6%,0.013000000000000001,50.0%,6,2015
83,GB,0.26,45.1%,0.281,50.0%,0.21100000000000002,33.3%,6,2015
84,HOU,0.18899999999999997,44.9%,0.434,51.2%,-0.16899999999999998,35.7%,6,2015
85,MIA,0.182,54.4%,0.251,63.6%,0.11599999999999999,45.7%,6,2015
86,NE,0.155,45.5%,0.17300000000000001,46.5%,0.12300000000000001,43.5%,6,2015
87,DET,0.151,47.6%,0.28600000000000003,49.1%,-0.095,44.8%,6,2015
88,NO,0.131,47.9%,0.406,58.5%,-0.24600000000000002,33.3%,6,2015
89,SF,0.098,32.8%,0.423,47.1%,-0.36200000000000004,12.5%,6,2015
90,CAR,0.09699999999999999,52.1%,0.07,48.7%,0.13,56.3%,6,2015
91,LAC,0.092,48.9%,0.251,57.7%,-0.445,19.0%,6,2015
92,NYJ,0.062,41.5%,0.213,53.6%,-0.052000000000000005,32.4%,6,2015
93,CHI,0.053,43.6%,0.22699999999999998,54.3%,-0.198,28.1%,6,2015
94,PIT,0.051,43.6%,0.361,53.6%,-0.26899999999999996,33.3%,6,2015
95,BUF,0.037000000000000005,49.3%,0.011000000000000001,48.9%,0.085,50.0%,6,2015
96,BAL,0.025,52.7%,0.087,53.8%,-0.121,50.0%,6,2015
97,IND,0.024,44.9%,0.115,48.3%,-0.28,33.3%,6,2015
98,JAX,-0.019,44.4%,0.063,50.0%,-0.327,23.5%,6,2015
99,ATL,-0.031,47.9%,0.13699999999999998,48.1%,-0.44799999999999995,47.6%,6,2015
100,MIN,-0.031,34.3%,0.12300000000000001,40.0%,-0.2,28.1%,6,2015
101,ARI,-0.066,45.6%,0.01,53.1%,-0.265,26.3%,6,2015
102,SEA,-0.066,34.4%,0.042,36.6%,-0.287,30.0%,6,2015
103,PHI,-0.075,47.4%,-0.16399999999999998,47.6%,0.035,47.1%,6,2015
104,KC,-0.14400000000000002,45.2%,0.064,47.8%,-0.74,37.5%,6,2015
105,DEN,-0.156,34.9%,-0.231,36.7%,-0.047,32.4%,6,2015
106,WAS,-0.222,36.5%,-0.14400000000000002,40.4%,-0.45299999999999996,25.0%,6,2015
107,CLE,-0.302,39.0%,-0.39299999999999996,37.0%,-0.16699999999999998,41.9%,6,2015
108,NYG,-0.344,41.2%,-0.348,43.5%,-0.33799999999999997,36.4%,6,2015
109,TEN,-0.35,42.6%,-0.425,44.0%,-0.14300000000000002,38.9%,6,2015
110,ARI,0.327,47.6%,0.331,50.0%,0.32299999999999995,45.5%,5,2015
111,SF,0.267,47.8%,0.36700000000000005,48.8%,0.08800000000000001,45.8%,5,2015
112,IND,0.22699999999999998,46.8%,0.366,58.8%,0.057999999999999996,32.1%,5,2015
113,NYG,0.22699999999999998,56.4%,0.379,60.3%,-0.214,45.0%,5,2015
114,CLE,0.20800000000000002,46.5%,0.33299999999999996,46.8%,-0.113,45.8%,5,2015
115,BAL,0.127,46.4%,0.054000000000000006,35.1%,0.21100000000000002,59.4%,5,2015
116,TB,0.11800000000000001,38.1%,0.42,57.7%,-0.095,24.3%,5,2015
117,NE,0.114,54.4%,0.257,50.0%,-0.131,61.9%,5,2015
118,PHI,0.102,51.8%,0.069,56.0%,0.15,45.5%,5,2015
119,HOU,0.066,51.3%,0.273,64.6%,-0.29,28.6%,5,2015
120,JAX,0.065,50.0%,0.301,56.1%,-0.505,35.3%,5,2015
121,SEA,0.052000000000000005,48.3%,-0.017,50.0%,0.121,46.7%,5,2015
122,PIT,0.027000000000000003,39.3%,-0.07200000000000001,26.7%,0.142,53.8%,5,2015
123,BUF,0.006,34.7%,0.08900000000000001,42.9%,-0.105,23.8%,5,2015
124,ATL,0.001,53.2%,-0.115,49.0%,0.19,60.0%,5,2015
125,CHI,-0.01,42.1%,0.09300000000000001,45.1%,-0.22,36.0%,5,2015
126,CIN,-0.027000000000000003,45.9%,0.13699999999999998,50.0%,-0.344,37.9%,5,2015
127,TEN,-0.028999999999999998,36.2%,0.098,42.9%,-0.226,25.9%,5,2015
128,KC,-0.047,48.3%,-0.086,42.9%,0.013000000000000001,56.5%,5,2015
129,LAC,-0.087,44.0%,0.069,54.7%,-0.46399999999999997,18.2%,5,2015
130,WAS,-0.161,37.3%,-0.145,42.9%,-0.185,29.2%,5,2015
131,NO,-0.166,41.2%,-0.249,39.6%,0.034,45.0%,5,2015
132,DEN,-0.185,36.2%,-0.09699999999999999,45.0%,-0.38,16.7%,5,2015
133,DET,-0.217,44.2%,-0.146,47.4%,-0.498,31.6%,5,2015
134,GB,-0.223,37.7%,-0.132,46.3%,-0.408,20.0%,5,2015
135,LV,-0.24100000000000002,33.3%,-0.297,40.9%,-0.14300000000000002,20.0%,5,2015
136,DAL,-0.272,41.4%,-0.313,45.8%,-0.183,31.8%,5,2015
137,LA,-0.27699999999999997,35.7%,-0.555,26.5%,-0.013000000000000001,44.4%,5,2015
138,CIN,0.415,50.0%,0.777,57.7%,0.052000000000000005,42.3%,4,2015
139,LAC,0.213,40.6%,0.384,46.5%,-0.138,28.6%,4,2015
140,ATL,0.182,42.0%,0.377,48.5%,0.003,36.1%,4,2015
141,DAL,0.17800000000000002,38.3%,0.457,45.7%,-0.212,28.0%,4,2015
142,NO,0.15,42.5%,0.254,43.8%,-0.049,40.0%,4,2015
143,LA,0.14,44.2%,0.162,48.1%,0.115,40.0%,4,2015
144,NYJ,0.134,49.3%,0.293,51.4%,-0.03,47.2%,4,2015
145,CLE,0.114,48.6%,0.218,54.2%,-0.113,36.4%,4,2015
146,GB,0.08800000000000001,47.9%,0.124,45.2%,0.038,51.6%,4,2015
147,CAR,0.077,40.0%,0.166,37.0%,-0.009000000000000001,42.9%,4,2015
148,KC,0.07,50.7%,0.07400000000000001,49.1%,0.057,55.6%,4,2015
149,PHI,0.06,35.7%,0.33899999999999997,43.2%,-0.484,21.1%,4,2015
150,WAS,0.053,40.5%,0.20199999999999999,48.0%,-0.16699999999999998,29.4%,4,2015
151,MIN,0.028999999999999998,38.4%,0.040999999999999995,43.1%,0.002,27.3%,4,2015
152,ARI,0.023,49.3%,0.027999999999999997,47.1%,0.008,55.0%,4,2015
153,JAX,0.002,44.4%,0.08199999999999999,48.1%,-0.16,37.0%,4,2015
154,DEN,-0.004,40.0%,-0.034,43.8%,0.038,34.8%,4,2015
155,NYG,-0.055999999999999994,38.2%,-0.040999999999999995,36.6%,-0.08,40.7%,4,2015
156,CHI,-0.059000000000000004,42.3%,0.284,52.1%,-0.607,26.7%,4,2015
157,IND,-0.079,42.1%,0.142,48.1%,-0.622,27.3%,4,2015
158,SEA,-0.133,45.2%,0.03,57.9%,-0.391,25.0%,4,2015
159,LV,-0.155,44.8%,0.011000000000000001,50.0%,-0.428,36.4%,4,2015
160,TB,-0.17800000000000002,48.7%,-0.22399999999999998,52.0%,-0.09699999999999999,42.9%,4,2015
161,BAL,-0.188,44.3%,-0.31,43.6%,-0.07,45.0%,4,2015
162,HOU,-0.18899999999999997,37.7%,-0.10800000000000001,39.0%,-0.452,33.3%,4,2015
163,MIA,-0.22699999999999998,31.3%,-0.281,29.6%,0.066,40.0%,4,2015
164,DET,-0.23199999999999998,35.7%,-0.218,32.4%,-0.261,42.1%,4,2015
165,PIT,-0.23399999999999999,37.1%,-0.4,36.1%,-0.003,38.5%,4,2015
166,BUF,-0.24100000000000002,31.1%,-0.187,35.3%,-0.361,21.7%,4,2015
167,SF,-0.258,30.0%,-0.231,25.7%,-0.32,40.0%,4,2015
168,NE,0.429,60.3%,0.532,60.4%,0.265,60.0%,3,2015
169,BUF,0.297,45.3%,0.7290000000000001,56.3%,-0.136,34.4%,3,2015
170,ATL,0.29100000000000004,59.7%,0.374,64.3%,0.174,53.3%,3,2015
171,CAR,0.256,44.6%,0.391,52.8%,0.09,34.5%,3,2015
172,ARI,0.223,49.3%,0.33,51.4%,0.10800000000000001,47.1%,3,2015
173,GB,0.17600000000000002,47.4%,0.377,60.9%,-0.133,26.7%,3,2015
174,LV,0.171,41.2%,0.305,50.0%,0.02,31.3%,3,2015
175,NO,0.16399999999999998,49.3%,0.221,54.5%,0.064,40.0%,3,2015
176,NYG,0.14300000000000002,40.3%,0.47,51.4%,-0.21600000000000003,28.1%,3,2015
177,DAL,0.139,56.6%,0.149,61.3%,0.126,50.0%,3,2015
178,CLE,0.079,40.3%,0.18100000000000002,43.1%,-0.345,28.6%,3,2015
179,SEA,0.067,43.5%,0.145,45.9%,-0.049,40.0%,3,2015
180,MIN,0.045,40.0%,-0.042,40.0%,0.11800000000000001,40.0%,3,2015
181,DEN,0.031,44.4%,0.141,50.0%,-0.221,31.6%,3,2015
182,KC,0.03,37.7%,-0.004,36.8%,0.188,41.7%,3,2015
183,CIN,0.019,43.7%,0.305,55.8%,-0.419,25.0%,3,2015
184,HOU,0.013000000000000001,47.2%,0.127,50.0%,-0.08900000000000001,44.7%,3,2015
185,IND,0.008,47.4%,-0.17800000000000002,43.6%,0.41100000000000003,55.6%,3,2015
186,JAX,-0.004,39.7%,0.191,42.1%,-0.374,35.0%,3,2015
