TEAM,YEAR,GP,YDS,TOTAL YDS/G,YDS,PASSING YDS/G,YDS,RUSHING YDS/G,PTS,PTS/G,GP,TOTAL YDS,YDS/G,PASSING YDS,YDS/G,RUSHING YDS,YDS/G,POINTS,PTS/G
Arizona CardinalsArizona Cardinals,2020,8,"3,376",422,"2,073",259.1,"1,303",162.9,234,29.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Los Angeles ChargersLos Angeles Chargers,2020,8,"3,360",420,"2,275",284.4,"1,085",135.6,205,25.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Seattle SeahawksSeattle Seahawks,2020,8,"3,320",415,"2,385",298.1,935,116.9,274,34.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kansas City ChiefsKansas City Chiefs,2020,9,"3,681",409,"2,652",294.7,"1,029",114.3,286,31.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Atlanta FalconsAtlanta Falcons,2020,9,"3,571",396.8,"2,610",290,961,106.8,243,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Los Angeles RamsLos Angeles Rams,2020,8,"3,171",396.4,"2,069",258.6,"1,102",137.8,193,24.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Green Bay PackersGreen Bay Packers,2020,8,"3,167",395.9,"2,154",269.3,"1,013",126.6,253,31.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dallas CowboysDallas Cowboys,2020,9,"3,555",395,"2,565",285,990,110,204,22.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New Orleans SaintsNew Orleans Saints,2020,8,"3,121",390.1,"2,148",268.5,973,121.6,244,30.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tennessee TitansTennessee Titans,2020,8,"3,077",384.6,"1,896",237,"1,181",147.6,232,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
