Year,Week_x,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,TEAM_x,Year ,W-L-T,Power Index FPI,Power Index RK,Power Index TREND,Power Index OFF,Power Index DEF,Power Index ST,Ranks SOS,Ranks REM SOS,Ranks AVGWP,TEAM_Losing Team,Year _Losing Team,W-L-T_Losing Team,Power Index FPI_Losing Team,Power Index RK_Losing Team,Power Index TREND_Losing Team,Power Index OFF_Losing Team,Power Index DEF_Losing Team,Power Index ST_Losing Team,Ranks SOS_Losing Team,Ranks REM SOS_Losing Team,Ranks AVGWP_Losing Team,Week2,Home_Team,FinalName_538_Winner,DIVISION_538_Winner,ELO WITH QB_538_Winner,ELO CHANGE_538_Winner,CURRENT QB ADJ_538_Winner,Points_Diff_538_Winner,Playoffs_Prob_538_Winner,Division_Prob_538_Winner,Bye_Prob_538_Winner,SB_Prob_538_Winner,REAL_WINS2_538_Winner,REAL_LOSSES2_538_Winner,REAL_TIES_538_Winner,Before Week_538_Winner,Year_538_Winner,PROJ_WINS4_538_Winner,PROJ_LOSS4_538_Winner,FinalName_538_Loser,DIVISION_538_Loser,ELO WITH QB_538_Loser,ELO CHANGE_538_Loser,CURRENT QB ADJ_538_Loser,Points_Diff_538_Loser,Playoffs_Prob_538_Loser,Division_Prob_538_Loser,Bye_Prob_538_Loser,SB_Prob_538_Loser,REAL_WINS2_538_Loser,REAL_LOSSES2_538_Loser,REAL_TIES_538_Loser,Before Week_538_Loser,Year_538_Loser,PROJ_WINS4_538_Loser,PROJ_LOSS4_538_Loser,TEAM_y,Abbr_RDBMS_Winner,EPA/play_RDBMS_Winner,OVR_SUCCESS_RATE_RDBMS_Winner,Dropback EPA_RDBMS_Winner,DROPBACK_SR_RDBMS_Winner,Rush EPA_RDBMS_Winner,RUN_SR_RDBMS_Winner,Week_y,TEAM,Abbr_RDBMS_Loser,EPA/play_RDBMS_Loser,OVR_SUCCESS_RATE_RDBMS_Loser,Dropback EPA_RDBMS_Loser,DROPBACK_SR_RDBMS_Loser,Rush EPA_RDBMS_Loser,RUN_SR_RDBMS_Loser,Week,RK_FO_WEEKLY_Winner,Team_FO_WEEKLY_Winner,Abbr_FO_WEEKLY_Winner,TOTAL DVOA_FO_WEEKLY_Winner,LAST WEEK_FO_WEEKLY_Winner,DAVE_WEI_DVOA_FO_WEEKLY_Winner,RANK_FO_WEEKLY_Winner,W-L_FO_WEEKLY_Winner,OFFENSE DVOA_FO_WEEKLY_Winner,OFF. RANK_FO_WEEKLY_Winner,DEFENSE DVOA_FO_WEEKLY_Winner,DEF. RANK_FO_WEEKLY_Winner,S.T. DVOA_FO_WEEKLY_Winner,S.T. RANK_FO_WEEKLY_Winner,WEEK_FO_WEEKLY_Winner,YEAR_FO_WEEKLY_Winner,RK_FO_WEEKLY_Loser,Team_FO_WEEKLY_Loser,Abbr_FO_WEEKLY_Loser,TOTAL DVOA_FO_WEEKLY_Loser,LAST WEEK_FO_WEEKLY_Loser,DAVE_WEI_DVOA_FO_WEEKLY_Loser,RANK_FO_WEEKLY_Loser,W-L_FO_WEEKLY_Loser,OFFENSE DVOA_FO_WEEKLY_Loser,OFF. RANK_FO_WEEKLY_Loser,DEFENSE DVOA_FO_WEEKLY_Loser,DEF. RANK_FO_WEEKLY_Loser,S.T. DVOA_FO_WEEKLY_Loser,S.T. RANK_FO_WEEKLY_Loser,WEEK_FO_WEEKLY_Loser,YEAR_FO_WEEKLY_Loser,RK_FO_ANNUAL_Winner,Team_FO_ANNUAL_Winner,Abbr_FO_ANNUAL_Winner,WEEK_FO_ANNUAL_Winner,YEAR_FO_ANNUAL_Winner,TOTAL DVOA_FO_ANNUAL_Winner,Last Year_FO_ANNUAL_Winner,DAVE_WEI_DVOA_FO_ANNUAL_Winner,OFFENSE DVOA_FO_ANNUAL_Winner,DEFENSE DVOA_FO_ANNUAL_Winner,S.T. DVOA_FO_ANNUAL_Winner,non-adj VOA_FO_ANNUAL_Winner,ESTIM. WINS_FO_ANNUAL_Winner,SCHEDULE RANK_FO_ANNUAL_Winner,VAR._FO_ANNUAL_Winner,RK_FO_ANNUAL_Loser,Team_FO_ANNUAL_Loser,Abbr_FO_ANNUAL_Loser,WEEK_FO_ANNUAL_Loser,YEAR_FO_ANNUAL_Loser,TOTAL DVOA_FO_ANNUAL_Loser,Last Year_FO_ANNUAL_Loser,DAVE_WEI_DVOA_FO_ANNUAL_Loser,OFFENSE DVOA_FO_ANNUAL_Loser,DEFENSE DVOA_FO_ANNUAL_Loser,S.T. DVOA_FO_ANNUAL_Loser,non-adj VOA_FO_ANNUAL_Loser,ESTIM. WINS_FO_ANNUAL_Loser,SCHEDULE RANK_FO_ANNUAL_Loser,VAR._FO_ANNUAL_Loser
2015.0,17,Sun,3-Jan,1:02PM,Detroit Lions,Chicago Bears,24.0,20.0,349.0,0.0,345.0,3.0,Detroit Lions,2015.0,7-9-0,-2.0,16.0,0,0.9,-2.4,-0.5,15.0,0,13.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,17.0,0,Detroit Lions,NFC North,1485,17.0,0.0,-46.6,0.003,0.003,0.003,0.003,6,9,0,17,2015,6.5,9.5,Chicago Bears,NFC North,1430,21.0,0.0,-57.4,0.003,0.003,0.003,0.003,6,9,0,17,2015,6.5,9.5,Detroit Lions,DET,0.18,0.468,0.257,0.5,-0.040999999999999995,0.375,17,Chicago Bears,CHI,-0.008,0.442,-0.009000000000000001,0.483,-0.006999999999999999,0.391,17,12,Detroit Lions,DET,0.05,15.0,0.149,9,7-9,0.017,13,-0.023,13,0.01,13,17,2015,19,Chicago Bears,CHI,-0.065,20.0,0.002,14,6-10,0.066,10,0.119,31,-0.012,21,17,2015,12,Detroit Lions,DET,17,2015,0.05,11.0,0.149,0.017,-0.023,0.01,-0.011,7.9,0.034,0.168,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,6,Sun,18-Oct,1:02PM,Detroit Lions,Chicago Bears,37.0,34.0,546.0,3.0,444.0,1.0,Detroit Lions,2015.0,7-9-0,-2.0,16.0,0,0.9,-2.4,-0.5,15.0,0,13.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,6.0,1,Detroit Lions,NFC North,1446,-28.0,0.0,-72.2,0.04,0.003,0.003,0.003,0,5,0,6,2015,5.0,11.0,Chicago Bears,NFC North,1395,11.0,0.0,-105.5,0.09,0.01,0.003,0.003,2,3,0,6,2015,6.1,9.9,Detroit Lions,DET,0.151,0.476,0.28600000000000003,0.491,-0.095,0.448,6,Chicago Bears,CHI,0.053,0.436,0.22699999999999998,0.5429999999999999,-0.198,0.281,6,29,Detroit Lions,DET,-0.25,28.0,-0.196,27,1-5,-0.113,26,0.122,29,-0.015,21,6,2015,30,Chicago Bears,CHI,-0.257,30.0,-0.21899999999999997,31,2-4,-0.07400000000000001,24,0.145,30,-0.038,24,6,2015,12,Detroit Lions,DET,17,2015,0.05,11.0,0.149,0.017,-0.023,0.01,-0.011,7.9,0.034,0.168,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,14,Sun,13-Dec,1:02PM,Washington Redskins,Chicago Bears,24.0,21.0,374.0,1.0,377.0,1.0,Washington Redskins,2015.0,9-8-0,-2.8,24.0,0,-0.4,-2.2,-0.2,25.0,0,10.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,14.0,0,Washington Redskins,NFC East,1412,-15.0,0.0,-49.7,0.19,0.19,0.003,0.003,5,7,0,14,2015,6.4,9.6,Chicago Bears,NFC North,1443,-27.0,0.0,-42.5,0.07,0.003,0.003,0.003,5,7,0,14,2015,6.9,9.1,Washington Redskins,WAS,0.195,0.551,0.428,0.6759999999999999,-0.075,0.406,14,Chicago Bears,CHI,0.076,0.424,0.098,0.389,0.040999999999999995,0.478,14,17,Washington Redskins,WAS,-0.056,18.0,-0.038,18,6-7,-0.042,20,0.043,20,0.03,7,14,2015,20,Chicago Bears,CHI,-0.071,21.0,-0.011,16,5-8,0.044,12,0.077,26,-0.039,29,14,2015,16,Washington Redskins,WAS,17,2015,-0.008,28.0,0.061,0.02,0.06,0.032,0.034,7.7,-0.047,0.173,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,11,Sun,22-Nov,1:02PM,Denver Broncos,Chicago Bears,17.0,15.0,389.0,0.0,347.0,2.0,Denver Broncos,2015.0,15-4-0,5.9,7.0,0,-2.9,8.3,0.5,3.0,0,8.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,11.0,0,Denver Broncos,AFC West,1630,-48.0,0.0,0.0,0.94,0.85,0.37,0.08,7,2,0,11,2015,11.5,4.5,Chicago Bears,NFC North,1446,50.0,0.0,-48.2,0.14,0.02,0.003,0.003,4,5,0,11,2015,7.1,8.9,Denver Broncos,DEN,0.065,0.471,0.161,0.471,-0.03,0.471,11,Chicago Bears,CHI,-0.047,0.419,0.003,0.475,-0.138,0.318,11,9,Denver Broncos,DEN,0.126,11.0,0.123,8,8-2,-0.16,30,-0.242,1,0.044,6,11,2015,27,Chicago Bears,CHI,-0.138,25.0,-0.101,24,4-6,0.035,12,0.112,28,-0.061,32,11,2015,8,Denver Broncos,DEN,17,2015,0.174,2.0,0.17600000000000002,-0.085,-0.252,0.006999999999999999,0.173,10.6,0.035,0.114,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,13,Sun,6-Dec,1:02PM,San Francisco 49ers,Chicago Bears,26.0,20.0,291.0,0.0,364.0,1.0,San Francisco 49ers,2015.0,5-11-0,-8.3,32.0,0,-5.4,-3.1,0.2,4.0,0,32.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,13.0,0,San Francisco 49ers,NFC West,1426,-11.0,0.0,-132.3,0.003,0.003,0.003,0.003,3,8,0,13,2015,5.1,10.9,Chicago Bears,NFC North,1470,31.0,0.0,-28.6,0.2,0.03,0.003,0.003,5,6,0,13,2015,7.6,8.4,San Francisco 49ers,SF,-0.027000000000000003,0.377,0.024,0.349,-0.14800000000000002,0.444,13,Chicago Bears,CHI,-0.152,0.423,-0.273,0.412,-0.057999999999999996,0.4320000000000001,13,32,San Francisco 49ers,SF,-0.311,32.0,-0.314,32,4-8,-0.151,31,0.119,29,-0.04,29,13,2015,21,Chicago Bears,CHI,-0.081,19.0,-0.044,18,5-7,0.023,12,0.062,24,-0.042,30,13,2015,32,San Francisco 49ers,SF,17,2015,-0.28300000000000003,12.0,-0.238,-0.139,0.108,-0.036000000000000004,-0.326,3.9,0.095,0.142,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,3,Sun,27-Sep,4:26PM,Seattle Seahawks,Chicago Bears,26.0,0.0,371.0,0.0,146.0,0.0,Seattle Seahawks,2015.0,11-7-0,8.8,1.0,0,6.0,3.0,-0.3,6.0,0,6.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,3.0,1,Seattle Seahawks,NFC West,1635,-22.0,0.0,0.0,0.55,0.32,0.14,0.07,0,2,0,3,2015,9.1,6.9,Chicago Bears,NFC North,1381,-24.0,0.0,-115.2,0.05,0.02,0.003,0.003,0,2,0,3,2015,4.7,11.3,Seattle Seahawks,SEA,0.067,0.435,0.145,0.459,-0.049,0.4,3,Chicago Bears,CHI,-0.294,0.277,-0.436,0.227,-0.16899999999999998,0.32,3,12,Seattle Seahawks,SEA,0.083,23.0,0.17300000000000001,6,1-2,-0.041,16,0.034,18,0.158,1,3,2015,32,Chicago Bears,CHI,-0.7020000000000001,32.0,-0.32799999999999996,32,0-3,-0.21600000000000005,28,0.36,32,-0.126,3,3,2015,1,Seattle Seahawks,SEA,17,2015,0.386,1.0,0.512,0.197,-0.14800000000000002,0.042,0.322,12.6,0.029,0.15,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,8,Sun,1-Nov,1:00PM,Minnesota Vikings,Chicago Bears,23.0,20.0,327.0,1.0,305.0,0.0,Minnesota Vikings,2015.0,11-6-0,2.8,11.0,0,0.8,1.8,0.2,11.0,0,7.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,8.0,0,Minnesota Vikings,NFC North,1543,23.0,0.0,0.0,0.46,0.12,0.08,0.02,4,2,0,8,2015,9.1,6.9,Chicago Bears,NFC North,1386,0.0,0.0,-107.4,0.04,0.003,0.003,0.003,2,4,0,8,2015,5.6,10.4,Minnesota Vikings,MIN,0.04,0.448,0.107,0.441,-0.055,0.458,8,Chicago Bears,CHI,0.038,0.377,0.156,0.417,-0.133,0.32,8,27,Minnesota Vikings,MIN,-0.173,28.0,-0.174,27,5-2,-0.14400000000000002,27,0.069,24,0.04,8,8,2015,29,Chicago Bears,CHI,-0.23,30.0,-0.227,29,2-5,-0.041,20,0.121,28,-0.068,32,8,2015,11,Minnesota Vikings,MIN,17,2015,0.058,25.0,0.135,0.005,-0.014,0.039,0.061,9.5,0.038,0.163,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,15,Sun,20-Dec,1:02PM,Minnesota Vikings,Chicago Bears,38.0,17.0,350.0,0.0,293.0,2.0,Minnesota Vikings,2015.0,11-6-0,2.8,11.0,0,0.8,1.8,0.2,11.0,0,7.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,15.0,1,Minnesota Vikings,NFC North,1537,-6.0,0.0,0.0,0.92,0.27,0.003,0.01,8,5,0,15,2015,9.6,6.4,Chicago Bears,NFC North,1424,-18.0,0.0,-50.2,0.02,0.003,0.003,0.003,5,8,0,15,2015,6.3,9.7,Minnesota Vikings,MIN,0.28600000000000003,0.443,0.804,0.52,-0.073,0.389,15,Chicago Bears,CHI,-0.158,0.469,-0.28800000000000003,0.429,0.08800000000000001,0.545,15,11,Minnesota Vikings,MIN,0.037000000000000005,13.0,0.105,9,9-5,0.011,15,0.006,16,0.032,5,15,2015,19,Chicago Bears,CHI,-0.068,20.0,0.006999999999999999,16,5-9,0.05,11,0.08900000000000001,26,-0.028,25,15,2015,11,Minnesota Vikings,MIN,17,2015,0.058,25.0,0.135,0.005,-0.014,0.039,0.061,9.5,0.038,0.163,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,1,Sun,13-Sep,1:00PM,Green Bay Packers,Chicago Bears,31.0,23.0,322.0,0.0,402.0,1.0,Green Bay Packers,2015.0,11-7-0,3.6,9.0,0,2.4,1.3,-0.1,2.0,0,12.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,1.0,0,Green Bay Packers,NFC North,1601,0.0,0.0,61.3,0.62,0.49,0.25,0.07,0,0,0,1,2015,9.7,6.300000000000001,Chicago Bears,NFC North,1419,0.0,0.0,-68.1,0.14,0.08,0.02,0.003,0,0,0,1,2015,6.1,9.9,Green Bay Packers,GB,0.392,0.561,0.555,0.636,0.16699999999999998,0.458,1,Chicago Bears,CHI,0.095,0.451,0.015,0.415,0.204,0.5,1,6,Green Bay Packers,GB,0.5589999999999999,17.0,0.133,4,1-0,0.545,1,0.042,19,0.056,9,1,2015,26,Chicago Bears,CHI,-0.373,16.0,-0.10099999999999999,26,0-1,0.046,13,0.449,31,0.03,12,1,2015,10,Green Bay Packers,GB,17,2015,0.087,3.0,-0.026,0.027000000000000003,-0.057,0.004,0.045,9.7,0.053,0.168,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
2015.0,2,Sun,20-Sep,1:00PM,Arizona Cardinals,Chicago Bears,48.0,23.0,300.0,2.0,335.0,2.0,Arizona Cardinals,2015.0,14-4-0,8.3,2.0,0,6.0,2.6,-0.4,17.0,0,3.0,Chicago Bears,2015.0,6-10-0,-2.6,22.0,0,0.1,-2.7,0.0,12.0,0,27.0,2.0,0,Arizona Cardinals,NFC West,1557,16.0,0.0,0.0,0.44,0.24,0.14,0.04,1,0,0,2,2015,8.8,7.199999999999999,Chicago Bears,NFC North,1405,-14.0,0.0,-78.0,0.09,0.05,0.01,0.003,0,1,0,2,2015,5.5,10.5,Arizona Cardinals,ARI,0.32299999999999995,0.491,0.599,0.5710000000000001,0.038,0.407,2,Chicago Bears,CHI,-0.196,0.338,-0.207,0.316,-0.182,0.37,2,1,Arizona Cardinals,ARI,0.852,3.0,0.17800000000000002,2,2-0,0.593,1,-0.136,8,0.124,2,2,2015,32,Chicago Bears,CHI,-0.69,26.0,-0.231,32,0-2,-0.159,25,0.481,32,-0.05,22,2,2015,2,Arizona Cardinals,ARI,17,2015,0.302,20.0,0.217,0.162,-0.181,-0.04,0.31,12.0,0.016,0.229,19,Chicago Bears,CHI,17,2015,-0.065,26.0,0.002,0.066,0.119,-0.012,-0.111,6.7,0.06,0.085
