PtsW,Power Index FPI,Power Index OFF,Power Index DEF_Losing Team,Power Index ST,Ranks SOS,Ranks AVGWP,YdsW,TOW,EPA/play,OVR_SUCCESS_RATE,Dropback EPA,DROPBACK_SR,Rush EPA,RUN_SR,PtsL,Power Index FPI_Losing Team,Power Index OFF_Losing Team,Power Index DEF,Power Index ST_Losing Team,Ranks SOS_Losing Team,Ranks AVGWP_Losing Team,YdsL,TOL,EPA/play_Loss,OVR_SUCCESS_RATE_Loss,Dropback EPA_Loss,DROPBACK_SR_Loss,Rush EPA_Loss,RUN_SR_Loss
24.0,-2.0,0.9,-2.7,-0.5,15.0,13.0,349.0,0.0,0.18,0.468,0.257,0.5,-0.040999999999999995,0.375,20.0,-2.6,0.1,-2.4,0.0,12.0,27.0,345.0,3.0,-0.008,0.442,-0.009000000000000001,0.483,-0.006999999999999999,0.391
37.0,-2.0,0.9,-2.7,-0.5,15.0,13.0,546.0,3.0,0.151,0.476,0.28600000000000003,0.491,-0.095,0.448,34.0,-2.6,0.1,-2.4,0.0,12.0,27.0,444.0,1.0,0.053,0.436,0.22699999999999998,0.5429999999999999,-0.198,0.281
24.0,-2.8,-0.4,-2.7,-0.2,25.0,10.0,374.0,1.0,0.195,0.551,0.428,0.6759999999999999,-0.075,0.406,21.0,-2.6,0.1,-2.2,0.0,12.0,27.0,377.0,1.0,0.076,0.424,0.098,0.389,0.040999999999999995,0.478
17.0,5.9,-2.9,-2.7,0.5,3.0,8.0,389.0,0.0,0.065,0.471,0.161,0.471,-0.03,0.471,15.0,-2.6,0.1,8.3,0.0,12.0,27.0,347.0,2.0,-0.047,0.419,0.003,0.475,-0.138,0.318
26.0,-8.3,-5.4,-2.7,0.2,4.0,32.0,291.0,0.0,-0.027000000000000003,0.377,0.024,0.349,-0.14800000000000002,0.444,20.0,-2.6,0.1,-3.1,0.0,12.0,27.0,364.0,1.0,-0.152,0.423,-0.273,0.412,-0.057999999999999996,0.4320000000000001
26.0,8.8,6.0,-2.7,-0.3,6.0,6.0,371.0,0.0,0.067,0.435,0.145,0.459,-0.049,0.4,0.0,-2.6,0.1,3.0,0.0,12.0,27.0,146.0,0.0,-0.294,0.277,-0.436,0.227,-0.16899999999999998,0.32
23.0,2.8,0.8,-2.7,0.2,11.0,7.0,327.0,1.0,0.04,0.448,0.107,0.441,-0.055,0.458,20.0,-2.6,0.1,1.8,0.0,12.0,27.0,305.0,0.0,0.038,0.377,0.156,0.417,-0.133,0.32
38.0,2.8,0.8,-2.7,0.2,11.0,7.0,350.0,0.0,0.28600000000000003,0.443,0.804,0.52,-0.073,0.389,17.0,-2.6,0.1,1.8,0.0,12.0,27.0,293.0,2.0,-0.158,0.469,-0.28800000000000003,0.429,0.08800000000000001,0.545
31.0,3.6,2.4,-2.7,-0.1,2.0,12.0,322.0,0.0,0.392,0.561,0.555,0.636,0.16699999999999998,0.458,23.0,-2.6,0.1,1.3,0.0,12.0,27.0,402.0,1.0,0.095,0.451,0.015,0.415,0.204,0.5
48.0,8.3,6.0,-2.7,-0.4,17.0,3.0,300.0,2.0,0.32299999999999995,0.491,0.599,0.5710000000000001,0.038,0.407,23.0,-2.6,0.1,2.6,0.0,12.0,27.0,335.0,2.0,-0.196,0.338,-0.207,0.316,-0.182,0.37
