Team,W-L-T,EFF,RNK,EFF,RNK,EFF,RNK,EFF,RNK,Year
Philadelphia Eagles,16-3-0,68.8,1,62.7,4,63.7,6,56.1,11,2017
New England Patriots,15-4-0,68.4,2,76.6,1,41.9,30,66.7,2,2017
Minnesota Vikings,14-4-0,67.1,3,59.5,7,69.5,3,43.5,23,2017
New Orleans Saints,12-6-0,65.7,4,70.8,2,51.3,20,56.5,9,2017
Los Angeles Rams,11-6-0,64.4,5,55.9,8,61.2,8,63.3,4,2017
Jacksonville Jaguars,12-7-0,62.5,6,43.4,15,78.6,1,41.7,26,2017
Pittsburgh Steelers,13-4-0,61.4,7,60.7,6,56.0,17,50.1,17,2017
Baltimore Ravens,9-7-0,59.9,8,37.6,21,69.7,2,65.8,3,2017
Los Angeles Chargers,9-7-0,59.5,9,61.3,5,63.0,7,27.7,32,2017
Kansas City Chiefs,10-7-0,59.5,10,65.1,3,45.1,24,60.8,5,2017
Atlanta Falcons,11-7-0,57.4,11,55.4,9,53.3,18,55.8,13,2017
Carolina Panthers,11-6-0,55.8,12,48.7,11,58.1,11,54.7,14,2017
Dallas Cowboys,9-7-0,54.1,13,51.3,10,47.2,23,67.4,1,2017
Detroit Lions,9-7-0,54.0,14,46.8,13,56.2,15,57.3,8,2017
Seattle Seahawks,9-7-0,52.1,15,40.8,18,65.7,5,42.3,24,2017
Tennessee Titans,10-8-0,49.4,16,40.5,19,58.8,10,49.3,18,2017
Buffalo Bills,9-8-0,47.8,17,35.7,25,57.2,14,59.5,7,2017
Cincinnati Bengals,7-9-0,45.5,18,37.2,22,56.2,16,48.6,19,2017
Washington Redskins,7-9-0,45.1,19,42.6,16,57.3,13,33.5,30,2017
Arizona Cardinals,8-8-0,43.8,20,28.0,29,66.2,4,44.2,22,2017
San Francisco 49ers,6-10-0,40.8,21,35.9,24,47.5,22,55.9,12,2017
Oakland Raiders,6-10-0,40.7,22,42.2,17,43.4,28,50.1,16,2017
New York Jets,5-11-0,40.5,23,36.2,23,48.5,21,51.7,15,2017
Green Bay Packers,7-9-0,40.4,24,46.8,12,40.3,32,46.4,20,2017
Chicago Bears,5-11-0,40.3,25,29.5,28,57.8,12,45.2,21,2017
Tampa Bay Buccaneers,5-11-0,39.8,26,43.5,14,44.5,27,40.1,27,2017
Indianapolis Colts,4-12-0,38.6,27,33.2,26,45.0,25,59.9,6,2017
Houston Texans,4-12-0,36.4,28,39.3,20,42.5,29,42.0,25,2017
New York Giants,3-13-0,34.8,29,31.8,27,51.6,19,34.0,29,2017
Denver Broncos,5-11-0,34.0,30,26.5,31,59.1,9,31.7,31,2017
Miami Dolphins,6-10-0,33.8,31,27.9,30,44.7,26,56.3,10,2017
Cleveland Browns,0-16-0,22.2,32,20.8,32,41.0,31,36.9,28,2017
