Year,Week_x,Abbr_RDBMS_Winner,Week2,Day,Date,Time,Home_Team,FINAL_TEAM_NAME,Opponent,TEAM_POINTS,TEAM_YARDS,TEAM_TURNOVERS,TEAM_TURNOVER_DIFFERENTIAL,OPPONENTS_POINTS,OPPONENTS_YARDS,OPPONENTS_TURNOVERS,OPPONENTS_TURNOVER_DIFFERENTIAL,TEAM_POINT_MARGIN,GAMEID,BINARY_WIN,W-L-T,Power Index FPI,Power Index RK,Power Index TREND,Power Index OFF,Power Index DEF,Power Index ST,Ranks SOS,Ranks REM SOS,Ranks AVGWP,DIVISION_538_Winner,ELO WITH QB_538_Winner,ELO CHANGE_538_Winner,CURRENT QB ADJ_538_Winner,Points_Diff_538_Winner,Playoffs_Prob_538_Winner,Division_Prob_538_Winner,Bye_Prob_538_Winner,SB_Prob_538_Winner,REAL_WINS2_538_Winner,REAL_LOSSES2_538_Winner,REAL_TIES_538_Winner,PROJ_WINS4_538_Winner,PROJ_LOSS4_538_Winner,EPA/play_RDBMS_Winner,OVR_SUCCESS_RATE_RDBMS_Winner,Dropback EPA_RDBMS_Winner,DROPBACK_SR_RDBMS_Winner,Rush EPA_RDBMS_Winner,RUN_SR_RDBMS_Winner,TOTAL DVOA_FO_WEEKLY_Winner,LAST WEEK_FO_WEEKLY_Winner,DAVE_WEI_DVOA_FO_WEEKLY_Winner,OFFENSE DVOA_FO_WEEKLY_Winner,DEFENSE DVOA_FO_WEEKLY_Winner,S.T. DVOA_FO_WEEKLY_Winner,RK_FO_ANNUAL_Winner,TOTAL DVOA_FO_ANNUAL_Winner,DAVE_WEI_DVOA_FO_ANNUAL_Winner,OFFENSE DVOA_FO_ANNUAL_Winner,DEFENSE DVOA_FO_ANNUAL_Winner,S.T. DVOA_FO_ANNUAL_Winner,non-adj VOA_FO_ANNUAL_Winner,Last Year_FO_ANNUAL_Winner,ESTIM. WINS_FO_ANNUAL_Winner,SCHEDULE RANK_FO_ANNUAL_Winner,VAR._FO_ANNUAL_Winner,TOTAL_GAME_POINTS,TOTAL_GAME_YARDS,TOTAL_GAME_TURNOVERS,PLAYOFFS_BINARY,GAME_TYPE,Model1_Prediction,Model2_Prediction,Model3_Prediction,Model4_Prediction,Model5_Prediction,Model1_Error,Model2_Error,Model3_Error,Model4_Error,Model5_Error
2015,17,CHI,17,Sun,3-Jan,1:02PM,0,Chicago Bears,Detroit Lions,20,345,3,-3,24,349,0,3,-4,1,0,10-Jun,-2.6,16,0,0.1,-2.7,0,12,0,27,NFC North,1430,21,0,-57.4,0.003,0.003,0.003,0.003,6,9,0,6.5,9.5,-0.008,0.442,-0.009,0.483,-0.007,0.391,-0.065,20,0.002,0.066,0.119,-0.012,19,-0.065,0.002,0.066,0.119,-0.012,-0.111,26,6.7,0.06,0.085,44,694,3,0,Regular Season,21.11,24.25,19.11,20,22.37,1.11,4.25,0.89,0,2.37
2015,17,DET,17,Sun,3-Jan,1:02PM,0,Detroit Lions,Chicago Bears,24,349,0,3,20,345,3,-3,4,1,1,9-Jul,-2,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1485,17,0,-46.6,0.003,0.003,0.003,0.003,6,9,0,6.5,9.5,0.18,0.468,0.257,0.5,-0.041,0.375,0.05,15,0.149,0.017,-0.023,0.01,12,0.05,0.149,0.017,-0.023,0.01,-0.011,11,7.9,0.034,0.168,44,694,3,0,Regular Season,21.49,25.96,26.02,27,27.13,2.51,1.96,2.02,3,3.13
2015,6,CHI,6,Sun,18-Oct,1:02PM,1,Chicago Bears,Detroit Lions,34,444,1,2,37,546,3,-2,-3,2,0,10-Jun,-2.6,16,0,0.1,-2.7,0,12,0,27,NFC North,1395,11,0,-105.5,0.09,0.01,0.003,0.003,2,3,0,6.1,9.9,0.053,0.436,0.227,0.543,-0.198,0.281,-0.257,30,-0.219,-0.074,0.145,-0.038,19,-0.065,0.002,0.066,0.119,-0.012,-0.111,26,6.7,0.06,0.085,71,990,4,0,Regular Season,21.11,24.25,29.16,27,26.02,12.89,9.75,4.84,7,7.98
2015,6,DET,6,Sun,18-Oct,1:02PM,1,Detroit Lions,Chicago Bears,37,546,3,-2,34,444,1,2,3,2,1,9-Jul,-2,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1446,-28,0,-72.2,0.04,0.003,0.003,0.003,0,5,0,5,5,0.151,0.476,0.286,0.491,-0.095,0.448,-0.25,28,-0.196,-0.113,0.122,-0.015,12,0.05,0.149,0.017,-0.023,0.01,-0.011,11,7.9,0.034,0.168,71,990,4,0,Regular Season,21.49,25.96,33.24,24,31.62,15.51,11.04,3.76,13,5.38
2015,14,CHI,14,Sun,13-Dec,1:02PM,0,Chicago Bears,Washington Redskins,21,377,1,0,24,374,1,0,-3,3,0,10-Jun,-2.6,24,0,0.1,-2.7,0,12,0,27,NFC North,1443,-27,0,-42.5,0.07,0.003,0.003,0.003,5,7,0,6.9,9.1,0.076,0.424,0.098,0.389,0.041,0.478,-0.071,21,-0.011,0.044,0.077,-0.039,19,-0.065,0.002,0.066,0.119,-0.012,-0.111,26,6.7,0.06,0.085,45,751,2,0,Regular Season,21.11,24.05,24.78,20,24.65,0.11,3.05,3.78,1,3.65
2015,14,WAS,14,Sun,13-Dec,1:02PM,0,Washington Redskins,Chicago Bears,24,374,1,0,21,377,1,0,3,3,1,8-Sep,-2.8,24,0,-0.4,-2.2,-0.2,25,0,10,NFC East,1412,-15,0,-49.7,0.19,0.19,0.003,0.003,5,7,0,6.4,9.6,0.195,0.551,0.428,0.676,-0.075,0.406,-0.056,18,-0.038,-0.042,0.043,0.03,16,-0.008,0.061,0.02,0.06,0.032,0.034,28,7.7,-0.047,0.173,45,751,2,0,Regular Season,20.98,25.49,26.26,24,30.17,3.02,1.49,2.26,0,6.17
2015,11,CHI,11,Sun,22-Nov,1:02PM,0,Chicago Bears,Denver Broncos,15,347,2,-2,17,389,0,2,-2,4,0,10-Jun,-2.6,7,0,0.1,-2.7,0,12,0,27,NFC North,1446,50,0,-48.2,0.14,0.02,0.003,0.003,4,5,0,7.1,8.9,-0.047,0.419,0.003,0.475,-0.138,0.318,-0.138,25,-0.101,0.035,0.112,-0.061,19,-0.065,0.002,0.066,0.119,-0.012,-0.111,26,6.7,0.06,0.085,32,736,2,0,Regular Season,21.11,13.49,17.92,20,20.05,6.11,1.51,2.92,5,5.05
2015,11,DEN,11,Sun,22-Nov,1:02PM,0,Denver Broncos,Chicago Bears,17,389,0,2,15,347,2,-2,2,4,1,15-4-0,5.9,7,0,-2.9,8.3,0.5,3,0,8,AFC West,1630,-48,0,0,0.94,0.85,0.37,0.08,7,2,0,11.5,4.5,0.065,0.471,0.161,0.471,-0.03,0.471,0.126,11,0.123,-0.16,-0.242,0.044,8,0.174,0.176,-0.085,-0.252,0.007,0.173,2,10.6,0.035,0.114,32,736,2,0,Regular Season,26.54,25.49,30.33,27,26.69,9.54,8.49,13.33,10,9.69
2015,13,CHI,13,Sun,6-Dec,1:02PM,0,Chicago Bears,San Francisco 49ers,20,364,1,-1,26,291,0,1,-6,5,0,10-Jun,-2.6,32,0,0.1,-2.7,0,12,0,27,NFC North,1470,31,0,-28.6,0.2,0.03,0.003,0.003,5,6,0,7.6,8.4,-0.152,0.423,-0.273,0.412,-0.058,0.432,-0.081,19,-0.044,0.023,0.062,-0.042,19,-0.065,0.002,0.066,0.119,-0.012,-0.111,26,6.7,0.06,0.085,46,655,1,0,Regular Season,21.11,24.95,24.21,20,16.03,1.11,4.95,4.21,0,3.97
2015,13,SF,13,Sun,6-Dec,1:02PM,0,San Francisco 49ers,Chicago Bears,26,291,0,1,20,364,1,-1,6,5,1,11-May,-8.3,32,0,-5.4,-3.1,0.2,4,0,32,NFC West,1426,-11,0,-132.3,0.003,0.003,0.003,0.003,3,8,0,5.1,10.9,-0.027,0.377,0.024,0.349,-0.148,0.444,-0.311,32,-0.314,-0.151,0.119,-0.04,32,-0.283,-0.238,-0.139,0.108,-0.036,-0.326,12,3.9,0.095,0.142,46,655,1,0,Regular Season,17.47,20.78,19.82,17,19.07,8.53,5.22,6.18,9,6.93
