Year,Week_x,Abbr_RDBMS_Winner,Week2,Day,Date,Time,Home_Team,FINAL_TEAM_NAME,Opponent,TEAM_POINTS,TEAM_YARDS,TEAM_TURNOVERS,TEAM_TURNOVER_DIFFERENTIAL,OPPONENTS_POINTS,OPPONENTS_YARDS,OPPONENTS_TURNOVERS,OPPONENTS_TURNOVER_DIFFERENTIAL,TEAM_POINT_MARGIN,GAMEID,BINARY_WIN,W-L-T,Power Index FPI,Power Index RK,Power Index TREND,Power Index OFF,Power Index DEF,Power Index ST,Ranks SOS,Ranks REM SOS,Ranks AVGWP,DIVISION_538_Winner,ELO WITH QB_538_Winner,ELO CHANGE_538_Winner,CURRENT QB ADJ_538_Winner,Points_Diff_538_Winner,Playoffs_Prob_538_Winner,Division_Prob_538_Winner,Bye_Prob_538_Winner,SB_Prob_538_Winner,REAL_WINS2_538_Winner,REAL_LOSSES2_538_Winner,REAL_TIES_538_Winner,PROJ_WINS4_538_Winner,PROJ_LOSS4_538_Winner,EPA/play_RDBMS_Winner,OVR_SUCCESS_RATE_RDBMS_Winner,Dropback EPA_RDBMS_Winner,DROPBACK_SR_RDBMS_Winner,Rush EPA_RDBMS_Winner,RUN_SR_RDBMS_Winner,TOTAL DVOA_FO_WEEKLY_Winner,LAST WEEK_FO_WEEKLY_Winner,DAVE_WEI_DVOA_FO_WEEKLY_Winner,OFFENSE DVOA_FO_WEEKLY_Winner,DEFENSE DVOA_FO_WEEKLY_Winner,S.T. DVOA_FO_WEEKLY_Winner,RK_FO_ANNUAL_Winner,TOTAL DVOA_FO_ANNUAL_Winner,DAVE_WEI_DVOA_FO_ANNUAL_Winner,OFFENSE DVOA_FO_ANNUAL_Winner,DEFENSE DVOA_FO_ANNUAL_Winner,S.T. DVOA_FO_ANNUAL_Winner,non-adj VOA_FO_ANNUAL_Winner,Last Year_FO_ANNUAL_Winner,ESTIM. WINS_FO_ANNUAL_Winner,SCHEDULE RANK_FO_ANNUAL_Winner,VAR._FO_ANNUAL_Winner,TOTAL_GAME_POINTS,TOTAL_GAME_YARDS,TOTAL_GAME_TURNOVERS,PLAYOFFS_BINARY,GAME_TYPE
2015,17,DET,17,Sun,3-Jan,1:02PM,0,Detroit Lions,Chicago Bears,24,349,0,3,20,345,3,-3,4,1,1,7-9,-2.0,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1485,17,0.0,-46.6,0.003,0.003,0.003,0.003,6,9,0,6.5,9.5,0.18,0.46799999999999997,0.257,0.5,-0.040999999999999995,0.375,0.05,15,0.149,0.017,-0.023,0.01,12,0.05,0.149,0.017,-0.023,0.01,-0.011000000000000001,11,7.9,0.034,0.168,44,694,3,0,Regular Season
2015,17,CHI,17,Sun,3-Jan,1:02PM,0,Chicago Bears,Detroit Lions,20,345,3,-3,24,349,0,3,-4,1,0,6-10,-2.6,16,0,0.1,-2.7,0.0,12,0,27,NFC North,1430,21,0.0,-57.4,0.003,0.003,0.003,0.003,6,9,0,6.5,9.5,-0.008,0.442,-0.009000000000000001,0.483,-0.006999999999999999,0.391,-0.065,20,0.002,0.066,0.11900000000000001,-0.012,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,44,694,3,0,Regular Season
2015,6,CHI,6,Sun,18-Oct,1:02PM,1,Chicago Bears,Detroit Lions,34,444,1,2,37,546,3,-2,-3,2,0,6-10,-2.6,16,0,0.1,-2.7,0.0,12,0,27,NFC North,1395,11,0.0,-105.5,0.09,0.01,0.003,0.003,2,3,0,6.1,9.9,0.053,0.436,0.22699999999999998,0.5429999999999999,-0.198,0.281,-0.257,30,-0.21899999999999997,-0.07400000000000001,0.145,-0.038,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,71,990,4,0,Regular Season
2015,6,DET,6,Sun,18-Oct,1:02PM,1,Detroit Lions,Chicago Bears,37,546,3,-2,34,444,1,2,3,2,1,7-9,-2.0,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1446,-28,0.0,-72.2,0.04,0.003,0.003,0.003,0,5,0,5.0,5.0,0.151,0.47600000000000003,0.28600000000000003,0.491,-0.095,0.44799999999999995,-0.25,28,-0.196,-0.113,0.122,-0.015,12,0.05,0.149,0.017,-0.023,0.01,-0.011000000000000001,11,7.9,0.034,0.168,71,990,4,0,Regular Season
2015,14,WAS,14,Sun,13-Dec,1:02PM,0,Washington Redskins,Chicago Bears,24,374,1,0,21,377,1,0,3,3,1,9-8,-2.8,24,0,-0.4,-2.2,-0.2,25,0,10,NFC East,1412,-15,0.0,-49.7,0.19,0.19,0.003,0.003,5,7,0,6.4,9.6,0.195,0.551,0.428,0.6759999999999999,-0.075,0.406,-0.055999999999999994,18,-0.038,-0.042,0.043,0.03,16,-0.008,0.061,0.02,0.06,0.032,0.034,28,7.7,-0.047,0.17300000000000001,45,751,2,0,Regular Season
2015,14,CHI,14,Sun,13-Dec,1:02PM,0,Chicago Bears,Washington Redskins,21,377,1,0,24,374,1,0,-3,3,0,6-10,-2.6,24,0,0.1,-2.7,0.0,12,0,27,NFC North,1443,-27,0.0,-42.5,0.07,0.003,0.003,0.003,5,7,0,6.9,9.1,0.076,0.424,0.098,0.389,0.040999999999999995,0.478,-0.071,21,-0.011000000000000001,0.044000000000000004,0.077,-0.039,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,45,751,2,0,Regular Season
2015,11,DEN,11,Sun,22-Nov,1:02PM,0,Denver Broncos,Chicago Bears,17,389,0,2,15,347,2,-2,2,4,1,15-4-0,5.9,7,0,-2.9,8.3,0.5,3,0,8,AFC West,1630,-48,0.0,0.0,0.94,0.85,0.37,0.08,7,2,0,11.5,4.5,0.065,0.47100000000000003,0.161,0.47100000000000003,-0.03,0.47100000000000003,0.126,11,0.12300000000000001,-0.16,-0.242,0.044000000000000004,8,0.174,0.17600000000000002,-0.085,-0.252,0.006999999999999999,0.17300000000000001,2,10.6,0.035,0.114,32,736,2,0,Regular Season
2015,11,CHI,11,Sun,22-Nov,1:02PM,0,Chicago Bears,Denver Broncos,15,347,2,-2,17,389,0,2,-2,4,0,6-10,-2.6,7,0,0.1,-2.7,0.0,12,0,27,NFC North,1446,50,0.0,-48.2,0.14,0.02,0.003,0.003,4,5,0,7.1,8.9,-0.047,0.419,0.003,0.475,-0.138,0.318,-0.138,25,-0.10099999999999999,0.035,0.11199999999999999,-0.061,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,32,736,2,0,Regular Season
2015,13,SF,13,Sun,6-Dec,1:02PM,0,San Francisco 49ers,Chicago Bears,26,291,0,1,20,364,1,-1,6,5,1,5-11,-8.3,32,0,-5.4,-3.1,0.2,4,0,32,NFC West,1426,-11,0.0,-132.3,0.003,0.003,0.003,0.003,3,8,0,5.1,10.9,-0.027000000000000003,0.377,0.024,0.349,-0.14800000000000002,0.444,-0.311,32,-0.314,-0.151,0.11900000000000001,-0.04,32,-0.28300000000000003,-0.23800000000000002,-0.139,0.10800000000000001,-0.036000000000000004,-0.326,12,3.9,0.095,0.142,46,655,1,0,Regular Season
2015,13,CHI,13,Sun,6-Dec,1:02PM,0,Chicago Bears,San Francisco 49ers,20,364,1,-1,26,291,0,1,-6,5,0,6-10,-2.6,32,0,0.1,-2.7,0.0,12,0,27,NFC North,1470,31,0.0,-28.6,0.2,0.03,0.003,0.003,5,6,0,7.6,8.4,-0.152,0.423,-0.273,0.41200000000000003,-0.057999999999999996,0.43200000000000005,-0.081,19,-0.044000000000000004,0.023,0.062,-0.042,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,46,655,1,0,Regular Season
2015,3,CHI,3,Sun,27-Sep,4:26PM,1,Chicago Bears,Seattle Seahawks,0,146,0,0,26,371,0,0,-26,6,0,6-10,-2.6,1,0,0.1,-2.7,0.0,12,0,27,NFC North,1381,-24,0.0,-115.2,0.05,0.02,0.003,0.003,0,2,0,4.7,11.3,-0.294,0.27699999999999997,-0.436,0.22699999999999998,-0.16899999999999998,0.32,-0.7020000000000001,32,-0.32799999999999996,-0.21600000000000003,0.36,-0.126,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,26,517,0,0,Regular Season
2015,3,SEA,3,Sun,27-Sep,4:26PM,1,Seattle Seahawks,Chicago Bears,26,371,0,0,0,146,0,0,26,6,1,11-7,8.8,1,0,6.0,3.0,-0.3,6,0,6,NFC West,1635,-22,0.0,0.0,0.55,0.32,0.14,0.07,0,2,0,9.1,6.9,0.067,0.435,0.145,0.45899999999999996,-0.049,0.4,0.083,23,0.17300000000000001,-0.040999999999999995,0.034,0.158,1,0.386,0.512,0.19699999999999998,-0.14800000000000002,0.042,0.322,1,12.6,0.028999999999999998,0.15,26,517,0,0,Regular Season
2015,8,CHI,8,Sun,1-Nov,1:00PM,0,Chicago Bears,Minnesota Vikings,20,305,0,1,23,327,1,-1,-3,7,0,6-10,-2.6,11,0,0.1,-2.7,0.0,12,0,27,NFC North,1386,0,0.0,-107.4,0.04,0.003,0.003,0.003,2,4,0,5.6,10.4,0.038,0.377,0.156,0.41700000000000004,-0.133,0.32,-0.23,30,-0.22699999999999998,-0.040999999999999995,0.121,-0.068,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,43,632,1,0,Regular Season
2015,8,MIN,8,Sun,1-Nov,1:00PM,0,Minnesota Vikings,Chicago Bears,23,327,1,-1,20,305,0,1,3,7,1,11-6,2.8,11,0,0.8,1.8,0.2,11,0,7,NFC North,1543,23,0.0,0.0,0.46,0.12,0.08,0.02,4,2,0,9.1,6.9,0.04,0.44799999999999995,0.107,0.441,-0.055,0.45799999999999996,-0.17300000000000001,28,-0.174,-0.14400000000000002,0.069,0.04,11,0.057999999999999996,0.135,0.005,-0.013999999999999999,0.039,0.061,25,9.5,0.038,0.163,43,632,1,0,Regular Season
2015,15,CHI,15,Sun,20-Dec,1:02PM,1,Chicago Bears,Minnesota Vikings,17,293,2,-2,38,350,0,2,-21,8,0,6-10,-2.6,11,0,0.1,-2.7,0.0,12,0,27,NFC North,1424,-18,0.0,-50.2,0.02,0.003,0.003,0.003,5,8,0,6.3,9.7,-0.158,0.469,-0.28800000000000003,0.429,0.08800000000000001,0.545,-0.068,20,0.006999999999999999,0.05,0.08900000000000001,-0.027999999999999997,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,55,643,2,0,Regular Season
2015,15,MIN,15,Sun,20-Dec,1:02PM,1,Minnesota Vikings,Chicago Bears,38,350,0,2,17,293,2,-2,21,8,1,11-6,2.8,11,0,0.8,1.8,0.2,11,0,7,NFC North,1537,-6,0.0,0.0,0.92,0.27,0.003,0.01,8,5,0,9.6,6.4,0.28600000000000003,0.44299999999999995,0.804,0.52,-0.073,0.389,0.037000000000000005,13,0.105,0.011000000000000001,0.006,0.032,11,0.057999999999999996,0.135,0.005,-0.013999999999999999,0.039,0.061,25,9.5,0.038,0.163,55,643,2,0,Regular Season
2015,1,CHI,1,Sun,13-Sep,1:00PM,0,Chicago Bears,Green Bay Packers,23,402,1,-1,31,322,0,1,-8,9,0,6-10,-2.6,9,0,0.1,-2.7,0.0,12,0,27,NFC North,1419,0,0.0,-68.1,0.14,0.08,0.02,0.003,0,0,0,6.1,9.9,0.095,0.451,0.015,0.415,0.204,0.5,-0.373,16,-0.10099999999999999,0.046,0.449,0.03,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,54,724,1,0,Regular Season
2015,1,GB,1,Sun,13-Sep,1:00PM,0,Green Bay Packers,Chicago Bears,31,322,0,1,23,402,1,-1,8,9,1,11-7,3.6,9,0,2.4,1.3,-0.1,2,0,12,NFC North,1601,0,0.0,61.3,0.62,0.49,0.25,0.07,0,0,0,9.7,6.3,0.392,0.561,0.555,0.636,0.16699999999999998,0.45799999999999996,0.5589999999999999,17,0.133,0.545,0.042,0.055999999999999994,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,54,724,1,0,Regular Season
2015,2,CHI,2,Sun,20-Sep,1:00PM,0,Chicago Bears,Arizona Cardinals,23,335,2,0,48,300,2,0,-25,10,0,6-10,-2.6,2,0,0.1,-2.7,0.0,12,0,27,NFC North,1405,-14,0.0,-78.0,0.09,0.05,0.01,0.003,0,1,0,5.5,10.5,-0.196,0.33799999999999997,-0.207,0.316,-0.182,0.37,-0.69,26,-0.231,-0.159,0.48100000000000004,-0.05,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,71,635,4,0,Regular Season
2015,2,ARI,2,Sun,20-Sep,1:00PM,0,Arizona Cardinals,Chicago Bears,48,300,2,0,23,335,2,0,25,10,1,14-4-0,8.3,2,0,6.0,2.6,-0.4,17,0,3,NFC West,1557,16,0.0,0.0,0.44,0.24,0.14,0.04,1,0,0,8.8,7.2,0.32299999999999995,0.491,0.599,0.5710000000000001,0.038,0.40700000000000003,0.852,3,0.17800000000000002,0.593,-0.136,0.124,2,0.302,0.217,0.162,-0.18100000000000002,-0.04,0.31,20,12.0,0.016,0.22899999999999998,71,635,4,0,Regular Season
2015,10,GB,10,Sun,15-Nov,1:04PM,0,Green Bay Packers,Detroit Lions,16,372,0,1,18,287,1,-1,-2,11,0,11-7,3.6,16,0,2.4,1.3,-0.1,2,0,12,NFC North,1641,-19,0.0,0.0,0.93,0.74,0.54,0.1,6,2,0,11.5,4.5,0.012,0.41700000000000004,0.07400000000000001,0.441,-0.251,0.313,0.149,6,0.124,0.132,-0.03,-0.013000000000000001,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,34,659,1,0,Regular Season
2015,10,DET,10,Sun,15-Nov,1:04PM,0,Detroit Lions,Green Bay Packers,18,287,1,-1,16,372,0,1,2,11,1,7-9,-2.0,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1406,0,0.0,-134.5,0.003,0.003,0.003,0.003,1,7,0,3.9,12.1,-0.07200000000000001,0.385,0.09300000000000001,0.474,-0.304,0.259,-0.221,31,-0.218,-0.142,0.095,0.015,12,0.05,0.149,0.017,-0.023,0.01,-0.011000000000000001,11,7.9,0.034,0.168,34,659,1,0,Regular Season
2015,8,GB,8,Sun,1-Nov,8:30PM,1,Green Bay Packers,Denver Broncos,10,140,0,1,29,500,1,-1,-19,12,0,11-7,3.6,7,0,2.4,1.3,-0.1,2,0,12,NFC North,1685,0,0.0,0.0,0.96,0.88,0.75,0.18,6,0,0,12.8,3.2,-0.069,0.415,-0.063,0.47100000000000003,-0.079,0.316,0.25,3,0.245,0.165,-0.06,0.025,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,39,640,1,0,Regular Season
2015,8,DEN,8,Sun,1-Nov,8:30PM,1,Denver Broncos,Green Bay Packers,29,500,1,-1,10,140,0,1,19,12,1,15-4-0,5.9,7,0,-2.9,8.3,0.5,3,0,8,AFC West,1673,0,0.0,0.0,0.97,0.95,0.59,0.14,6,0,0,12.8,3.2,0.22899999999999998,0.485,0.40700000000000003,0.563,0.061,0.41200000000000003,0.21,11,0.213,-0.17300000000000001,-0.36,0.023,8,0.174,0.17600000000000002,-0.085,-0.252,0.006999999999999999,0.17300000000000001,2,10.6,0.035,0.114,39,640,1,0,Regular Season
2015,17,MIN,17,Sun,3-Jan,8:30PM,0,Minnesota Vikings,Green Bay Packers,20,242,2,0,13,350,2,0,7,13,1,11-6,2.8,11,0,0.8,1.8,0.2,11,0,7,NFC North,1574,22,0.0,0.0,0.003,0.33,0.003,0.02,10,5,0,10.3,5.7,-0.025,0.34700000000000003,-0.41100000000000003,0.217,0.317,0.462,0.057999999999999996,13,0.135,0.005,-0.013999999999999999,0.039,11,0.057999999999999996,0.135,0.005,-0.013999999999999999,0.039,0.061,25,9.5,0.038,0.163,33,592,4,0,Regular Season
2015,17,GB,17,Sun,3-Jan,8:30PM,0,Green Bay Packers,Minnesota Vikings,13,350,2,0,20,242,2,0,-7,13,0,11-7,3.6,11,0,2.4,1.3,-0.1,2,0,12,NFC North,1637,-22,0.0,0.0,0.003,0.67,0.003,0.05,10,5,0,10.7,5.3,-0.177,0.37200000000000005,-0.183,0.40700000000000003,-0.165,0.292,0.087,9,-0.026000000000000002,0.027000000000000003,-0.057,0.004,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,33,592,4,0,Regular Season
2015,Division,ARI,19,Sat,16-Jan,8:15PM,1,Arizona Cardinals,Green Bay Packers,26,368,2,-1,20,386,1,1,6,14,1,14-4-0,8.3,2,0,6.0,2.6,-0.4,17,0,3,NFC West,1681,0,0.0,0.0,0.003,0.66,0.3,0.16,13,3,0,13.7,2.3,0.051,0.43799999999999994,0.187,0.489,-0.27,0.316,0.057999999999999996,13,0.135,0.005,-0.013999999999999999,0.039,2,0.302,0.217,0.162,-0.18100000000000002,-0.04,0.31,20,12.0,0.016,0.22899999999999998,46,754,3,1,Divisional Round
2015,Division,GB,19,Sat,16-Jan,8:15PM,1,Green Bay Packers,Arizona Cardinals,20,386,1,1,26,368,2,-1,-6,14,0,11-7,3.6,2,0,2.4,1.3,-0.1,2,0,12,NFC North,1634,27,0.0,0.0,0.003,0.34,0.14,0.07,11,6,0,10.7,5.3,0.053,0.35700000000000004,0.034,0.36,0.1,0.35,0.087,9,-0.026000000000000002,0.027000000000000003,-0.057,0.004,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,46,754,3,1,Divisional Round
2015,16,ARI,16,Sun,27-Dec,4:25PM,1,Arizona Cardinals,Green Bay Packers,38,381,2,2,8,178,4,-2,30,15,1,14-4-0,8.3,2,0,6.0,2.6,-0.4,17,0,3,NFC West,1708,21,0.0,0.0,0.003,0.003,0.89,0.17,12,2,0,13.3,2.7,-0.006999999999999999,0.48200000000000004,0.094,0.469,-0.142,0.5,0.297,6,0.21899999999999997,0.19399999999999998,-0.12300000000000001,-0.02,2,0.302,0.217,0.162,-0.18100000000000002,-0.04,0.31,20,12.0,0.016,0.22899999999999998,46,559,6,0,Regular Season
2015,16,GB,16,Sun,27-Dec,4:25PM,1,Green Bay Packers,Arizona Cardinals,8,178,4,-2,38,381,2,2,-30,15,0,11-7,3.6,2,0,2.4,1.3,-0.1,2,0,12,NFC North,1659,14,0.0,0.0,0.003,0.75,0.11,0.06,10,4,0,11.1,4.9,-0.44299999999999995,0.314,-0.47700000000000004,0.348,-0.38,0.25,0.14800000000000002,9,0.032,0.08,-0.068,0.0,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,46,559,6,0,Regular Season
