Pts,FPI
20.0,-2.6
34.0,-2.6
21.0,-2.6
15.0,-2.6
20.0,-2.6
0.0,-2.6
20.0,-2.6
17.0,-2.6
23.0,-2.6
23.0,-2.6
16.0,3.6
10.0,3.6
29.0,3.6
13.0,3.6
20.0,3.6
8.0,3.6
13.0,3.6
13.0,-2.2
13.0,-2.2
35.0,-2.2
10.0,-2.2
17.0,-2.2
20.0,-2.2
14.0,-2.2
20.0,-2.2
20.0,-2.2
14.0,-1.6
19.0,-1.6
20.0,-1.6
24.0,-1.6
16.0,-1.6
17.0,-1.6
10.0,-1.6
24.0,-1.6
17.0,-1.6
27.0,-3.9
6.0,-3.9
14.0,-3.9
17.0,-3.9
22.0,-3.9
38.0,-3.9
19.0,-3.9
28.0,-3.9
19.0,-3.9
17.0,-8.3
14.0,-8.3
18.0,-8.3
3.0,-8.3
13.0,-8.3
3.0,-8.3
7.0,-8.3
13.0,-8.3
6.0,-8.3
10.0,-8.3
27.0,-8.3
24.0,-8.2
33.0,-8.2
10.0,-8.2
6.0,-8.2
6.0,-8.2
13.0,-8.2
10.0,-8.2
16.0,-8.2
8.0,-8.2
7.0,-8.2
14.0,-8.2
13.0,-8.2
21.0,-8.2
13.0,-4.6
27.0,-4.6
6.0,-4.6
20.0,-4.6
9.0,-4.6
17.0,-4.6
23.0,-4.6
25.0,-4.6
39.0,-4.6
17.0,-4.6
31.0,-4.6
20.0,-0.2
26.0,-0.2
21.0,-0.2
17.0,-0.2
0.0,-0.2
20.0,-0.2
6.0,-0.2
21.0,-0.2
24.0,5.9
27.0,5.9
13.0,5.9
12.0,5.9
21.0,-2.1
17.0,-2.1
21.0,-2.1
16.0,-2.1
0.0,-2.1
10.0,-2.1
20.0,-2.1
19.0,-2.1
12.0,-3.2
17.0,-3.2
9.0,-3.2
30.0,-3.2
10.0,-3.2
23.0,-3.2
23.0,-3.2
14.0,-3.2
18.0,-3.2
21.0,-3.2
12.0,-2.6
14.0,-2.6
17.0,-2.6
7.0,-2.6
14.0,-2.6
20.0,-2.6
14.0,-2.6
14.0,-2.6
20.0,-2.6
24.0,-2.6
16.0,-2.6
24.0,-2.6
13.0,-2.6
13.0,-2.6
20.0,-2.6
6.0,-2.6
14.0,-2.6
18.0,-2.6
30.0,-2.6
20.0,-2.6
33.0,-2.6
19.0,-2.6
20.0,-2.6
20.0,-2.6
3.0,-2.6
3.0,-2.6
3.0,-2.6
14.0,-2.6
20.0,-2.6
29.0,-2.6
20.0,-2.6
26.0,-2.6
19.0,-2.6
21.0,6.8
24.0,6.8
10.0,6.8
28.0,6.8
20.0,6.8
17.0,6.8
24.0,8.8
24.0,8.8
23.0,8.8
17.0,8.8
32.0,8.8
31.0,8.8
17.0,8.8
21.0,1.7
25.0,1.7
20.0,1.7
22.0,1.7
32.0,1.7
13.0,1.7
31.0,1.7
10.0,1.7
10.0,7.1
16.0,7.1
30.0,7.1
13.0,7.1
21.0,7.1
20.0,7.1
17.0,7.1
10.0,-6.7
3.0,-6.7
12.0,-6.7
9.0,-6.7
23.0,-6.7
13.0,-6.7
13.0,-6.7
