Pts,FPI
24.0,-2.0
37.0,-2.0
18.0,-2.0
18.0,-2.0
45.0,-2.0
35.0,-2.0
32.0,-2.0
30.0,-1.4
35.0,-1.4
16.0,-1.4
27.0,-1.4
27.0,-1.4
24.0,-1.4
25.0,-1.4
18.0,-1.4
24.0,4.1
33.0,4.1
24.0,4.1
28.0,4.1
36.0,4.1
27.0,4.1
34.0,4.1
16.0,4.1
31.0,4.1
31.0,4.1
37.0,4.1
24.0,4.1
20.0,-3.9
26.0,-3.9
31.0,-3.9
27.0,-3.9
52.0,-3.9
24.0,-3.9
38.0,-3.9
20.0,-2.6
17.0,-2.6
38.0,-2.6
44.0,-2.6
20.0,-2.6
15.0,-2.6
30.0,-0.2
19.0,-0.2
31.0,-0.2
20.0,-0.2
10.0,-0.2
24.0,-0.2
24.0,-0.2
16.0,-0.2
34.0,-0.2
28.0,7.1
18.0,7.1
43.0,7.1
12.0,7.1
24.0,7.1
25.0,7.1
38.0,7.1
30.0,7.1
45.0,7.1
33.0,7.1
34.0,7.1
22.0,1.7
27.0,1.7
41.0,1.7
14.0,1.7
33.0,1.7
22.0,1.7
30.0,1.7
16.0,1.7
34.0,-2.8
24.0,-2.8
23.0,-2.8
31.0,-2.8
47.0,-2.8
20.0,-2.8
24.0,-2.8
35.0,-2.8
38.0,-2.8
35.0,-1.6
24.0,-1.6
39.0,-1.6
27.0,-1.6
33.0,-1.6
35.0,-1.6
23.0,-1.6
27.0,5.9
23.0,5.9
20.0,5.9
24.0,5.9
19.0,5.9
31.0,5.9
24.0,5.9
23.0,5.9
16.0,5.9
26.0,5.9
29.0,5.9
17.0,5.9
30.0,5.9
17.0,5.9
20.0,5.9
19.0,-8.3
20.0,-8.3
25.0,-8.3
17.0,-8.3
26.0,-8.3
38.0,7.9
31.0,7.9
49.0,7.9
20.0,7.9
24.0,7.9
27.0,7.9
37.0,7.9
27.0,7.9
27.0,7.9
29.0,7.9
37.0,7.9
27.0,7.9
44.0,7.9
33.0,7.9
41.0,7.9
38.0,7.9
38.0,7.9
36.0,8.8
10.0,8.8
26.0,8.8
13.0,8.8
20.0,8.8
13.0,8.8
29.0,8.8
39.0,8.8
38.0,8.8
35.0,8.8
30.0,8.8
23.0,6.8
30.0,6.8
27.0,6.8
23.0,6.8
45.0,6.8
29.0,6.8
33.0,6.8
30.0,6.8
34.0,6.8
10.0,6.8
34.0,6.8
17.0,6.8
20.0,2.8
26.0,2.8
31.0,2.8
16.0,2.8
28.0,2.8
23.0,2.8
21.0,2.8
30.0,2.8
20.0,2.8
38.0,2.8
49.0,2.8
35.0,3.6
31.0,3.6
27.0,3.6
38.0,3.6
17.0,3.6
24.0,3.6
27.0,3.6
30.0,3.6
27.0,3.6
28.0,3.6
30.0,3.6
27.0,7.2
28.0,7.2
40.0,7.2
51.0,7.2
30.0,7.2
34.0,7.2
30.0,7.2
36.0,7.2
27.0,7.2
27.0,7.2
20.0,7.2
27.0,7.2
33.0,7.2
26.0,8.3
31.0,8.3
48.0,8.3
47.0,8.3
42.0,8.3
26.0,8.3
34.0,8.3
39.0,8.3
34.0,8.3
19.0,8.3
27.0,8.3
23.0,8.3
40.0,8.3
38.0,8.3
34.0,-3.8
24.0,-3.8
24.0,-3.8
27.0,-3.8
21.0,-3.8
31.0,-3.8
23.0,-3.8
31.0,3.6
20.0,3.6
27.0,3.6
34.0,3.6
28.0,3.6
38.0,3.6
23.0,3.6
30.0,3.6
19.0,3.6
26.0,3.6
33.0,-2.6
30.0,-2.6
