,Year,Week_x,Abbr_RDBMS_Winner,Week2,Day,Date,Time,Home_Team,FINAL_TEAM_NAME,Opponent,TEAM_POINTS,TEAM_YARDS,TEAM_TURNOVERS,TEAM_TURNOVER_DIFFERENTIAL,OPPONENTS_POINTS,OPPONENTS_YARDS,OPPONENTS_TURNOVERS,OPPONENTS_TURNOVER_DIFFERENTIAL,TEAM_POINT_MARGIN,GAMEID,BINARY_WIN,W-L-T,Power Index FPI,Power Index RK,Power Index TREND,Power Index OFF,Power Index DEF,Power Index ST,Ranks SOS,Ranks REM SOS,Ranks AVGWP,DIVISION_538_Winner,ELO WITH QB_538_Winner,ELO CHANGE_538_Winner,CURRENT QB ADJ_538_Winner,Points_Diff_538_Winner,Playoffs_Prob_538_Winner,Division_Prob_538_Winner,Bye_Prob_538_Winner,SB_Prob_538_Winner,REAL_WINS2_538_Winner,REAL_LOSSES2_538_Winner,REAL_TIES_538_Winner,PROJ_WINS4_538_Winner,PROJ_LOSS4_538_Winner,EPA/play_RDBMS_Winner,OVR_SUCCESS_RATE_RDBMS_Winner,Dropback EPA_RDBMS_Winner,DROPBACK_SR_RDBMS_Winner,Rush EPA_RDBMS_Winner,RUN_SR_RDBMS_Winner,TOTAL DVOA_FO_WEEKLY_Winner,LAST WEEK_FO_WEEKLY_Winner,DAVE_WEI_DVOA_FO_WEEKLY_Winner,OFFENSE DVOA_FO_WEEKLY_Winner,DEFENSE DVOA_FO_WEEKLY_Winner,S.T. DVOA_FO_WEEKLY_Winner,RK_FO_ANNUAL_Winner,TOTAL DVOA_FO_ANNUAL_Winner,DAVE_WEI_DVOA_FO_ANNUAL_Winner,OFFENSE DVOA_FO_ANNUAL_Winner,DEFENSE DVOA_FO_ANNUAL_Winner,S.T. DVOA_FO_ANNUAL_Winner,non-adj VOA_FO_ANNUAL_Winner,Last Year_FO_ANNUAL_Winner,ESTIM. WINS_FO_ANNUAL_Winner,SCHEDULE RANK_FO_ANNUAL_Winner,VAR._FO_ANNUAL_Winner,TOTAL_GAME_POINTS,TOTAL_GAME_YARDS,TOTAL_GAME_TURNOVERS,PLAYOFFS_BINARY,GAME_TYPE
0,2015.0,17,DET,17.0,Sun,3-Jan,1:02PM,0,Detroit Lions,Chicago Bears,24.0,349.0,0.0,3.0,20.0,345.0,3.0,-3.0,4.0,1.0,1,7-9-0,-2.0,16.0,0,0.9,-2.4,-0.5,15.0,0,13.0,NFC North,1485.0,17.0,0.0,-46.6,0.003,0.003,0.003,0.003,6.0,9.0,0.0,6.5,9.5,0.18,0.468,0.257,0.5,-0.040999999999999995,0.375,0.05,15.0,0.149,0.017,-0.023,0.01,12.0,0.05,0.149,0.017,-0.023,0.01,-0.011,11.0,7.9,0.034,0.168,44.0,694.0,3.0,0.0,Regular Season
1,2015.0,17,CHI,17.0,Sun,3-Jan,1:02PM,0,Chicago Bears,Detroit Lions,20.0,345.0,3.0,-3.0,24.0,349.0,0.0,3.0,-4.0,1.0,0,6-10-0,-2.6,16.0,0,0.1,-2.7,0.0,12.0,0,27.0,NFC North,1430.0,21.0,0.0,-57.4,0.003,0.003,0.003,0.003,6.0,9.0,0.0,6.5,9.5,-0.008,0.442,-0.009000000000000001,0.483,-0.006999999999999999,0.391,-0.065,20.0,0.002,0.066,0.11900000000000001,-0.012,19.0,-0.065,0.002,0.066,0.119,-0.012,-0.111,26.0,6.7,0.06,0.085,44.0,694.0,3.0,0.0,Regular Season
2,2015.0,6,CHI,6.0,Sun,18-Oct,1:02PM,1,Chicago Bears,Detroit Lions,34.0,444.0,1.0,2.0,37.0,546.0,3.0,-2.0,-3.0,2.0,0,6-10-0,-2.6,16.0,0,0.1,-2.7,0.0,12.0,0,27.0,NFC North,1395.0,11.0,0.0,-105.5,0.09,0.01,0.003,0.003,2.0,3.0,0.0,6.1,9.9,0.053,0.436,0.22699999999999998,0.5429999999999999,-0.198,0.281,-0.257,30.0,-0.21899999999999997,-0.07400000000000001,0.145,-0.038,19.0,-0.065,0.002,0.066,0.119,-0.012,-0.111,26.0,6.7,0.06,0.085,71.0,990.0,4.0,0.0,Regular Season
3,2015.0,6,DET,6.0,Sun,18-Oct,1:02PM,1,Detroit Lions,Chicago Bears,37.0,546.0,3.0,-2.0,34.0,444.0,1.0,2.0,3.0,2.0,1,7-9-0,-2.0,16.0,0,0.9,-2.4,-0.5,15.0,0,13.0,NFC North,1446.0,-28.0,0.0,-72.2,0.04,0.003,0.003,0.003,0.0,5.0,0.0,5,5,0.151,0.476,0.28600000000000003,0.491,-0.095,0.448,-0.25,28.0,-0.196,-0.113,0.122,-0.015,12.0,0.05,0.149,0.017,-0.023,0.01,-0.011,11.0,7.9,0.034,0.168,71.0,990.0,4.0,0.0,Regular Season
4,2015.0,14,WAS,14.0,Sun,13-Dec,1:02PM,0,Washington Redskins,Chicago Bears,24.0,374.0,1.0,-0.0,21.0,377.0,1.0,-0.0,3.0,3.0,1,9-8-0,-2.8,24.0,0,-0.4,-2.2,-0.2,25.0,0,10.0,NFC East,1412.0,-15.0,0.0,-49.7,0.19,0.19,0.003,0.003,5.0,7.0,0.0,6.4,9.6,0.195,0.551,0.428,0.6759999999999999,-0.075,0.406,-0.055999999999999994,18.0,-0.038,-0.042,0.043,0.03,16.0,-0.008,0.061,0.02,0.06,0.032,0.034,28.0,7.7,-0.047,0.173,45.0,751.0,2.0,0.0,Regular Season
5,2015.0,14,CHI,14.0,Sun,13-Dec,1:02PM,0,Chicago Bears,Washington Redskins,21.0,377.0,1.0,-0.0,24.0,374.0,1.0,-0.0,-3.0,3.0,0,6-10-0,-2.6,24.0,0,0.1,-2.7,0.0,12.0,0,27.0,NFC North,1443.0,-27.0,0.0,-42.5,0.07,0.003,0.003,0.003,5.0,7.0,0.0,6.9,9.1,0.076,0.424,0.098,0.389,0.040999999999999995,0.478,-0.071,21.0,-0.011000000000000001,0.044000000000000004,0.077,-0.039,19.0,-0.065,0.002,0.066,0.119,-0.012,-0.111,26.0,6.7,0.06,0.085,45.0,751.0,2.0,0.0,Regular Season
6,2015.0,11,DEN,11.0,Sun,22-Nov,1:02PM,0,Denver Broncos,Chicago Bears,17.0,389.0,0.0,2.0,15.0,347.0,2.0,-2.0,2.0,4.0,1,15-4-0,5.9,7.0,0,-2.9,8.3,0.5,3.0,0,8.0,AFC West,1630.0,-48.0,0.0,0.0,0.94,0.85,0.37,0.08,7.0,2.0,0.0,11.5,4.5,0.065,0.471,0.161,0.471,-0.03,0.471,0.126,11.0,0.12300000000000001,-0.16,-0.242,0.044000000000000004,8.0,0.174,0.17600000000000002,-0.085,-0.252,0.006999999999999999,0.173,2.0,10.6,0.035,0.114,32.0,736.0,2.0,0.0,Regular Season
7,2015.0,11,CHI,11.0,Sun,22-Nov,1:02PM,0,Chicago Bears,Denver Broncos,15.0,347.0,2.0,-2.0,17.0,389.0,0.0,2.0,-2.0,4.0,0,6-10-0,-2.6,7.0,0,0.1,-2.7,0.0,12.0,0,27.0,NFC North,1446.0,50.0,0.0,-48.2,0.14,0.02,0.003,0.003,4.0,5.0,0.0,7.1,8.9,-0.047,0.419,0.003,0.475,-0.138,0.318,-0.138,25.0,-0.10099999999999999,0.035,0.11199999999999999,-0.061,19.0,-0.065,0.002,0.066,0.119,-0.012,-0.111,26.0,6.7,0.06,0.085,32.0,736.0,2.0,0.0,Regular Season
8,2015.0,13,SF,13.0,Sun,6-Dec,1:02PM,0,San Francisco 49ers,Chicago Bears,26.0,291.0,0.0,1.0,20.0,364.0,1.0,-1.0,6.0,5.0,1,5-11-0,-8.3,32.0,0,-5.4,-3.1,0.2,4.0,0,32.0,NFC West,1426.0,-11.0,0.0,-132.3,0.003,0.003,0.003,0.003,3.0,8.0,0.0,5.1,10.9,-0.027000000000000003,0.377,0.024,0.349,-0.14800000000000002,0.444,-0.311,32.0,-0.314,-0.151,0.11900000000000001,-0.04,32.0,-0.28300000000000003,-0.238,-0.139,0.108,-0.036000000000000004,-0.326,12.0,3.9,0.095,0.142,46.0,655.0,1.0,0.0,Regular Season
9,2015.0,13,CHI,13.0,Sun,6-Dec,1:02PM,0,Chicago Bears,San Francisco 49ers,20.0,364.0,1.0,-1.0,26.0,291.0,0.0,1.0,-6.0,5.0,0,6-10-0,-2.6,32.0,0,0.1,-2.7,0.0,12.0,0,27.0,NFC North,1470.0,31.0,0.0,-28.6,0.2,0.03,0.003,0.003,5.0,6.0,0.0,7.6,8.4,-0.152,0.423,-0.273,0.412,-0.057999999999999996,0.4320000000000001,-0.081,19.0,-0.044000000000000004,0.023,0.062,-0.042,19.0,-0.065,0.002,0.066,0.119,-0.012,-0.111,26.0,6.7,0.06,0.085,46.0,655.0,1.0,0.0,Regular Season
